Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KOMP2_Mouse_Phenotypes_2022	Abnormal Motor Capabilities/Coordination/Movement (MP:0002066)	2/6	9.128927051395768e-05	0.0121414729783563	0	0	207.77083333333331	1932.5756890799971	NAB2;DNASE1L2
KOMP2_Mouse_Phenotypes_2022	Abnormal Head Morphology (MP:0000432)	2/26	0.0019157650058532	0.1273983728892432	0	0	34.59375	216.47517339281177	NFYA;DNASE1L2
KOMP2_Mouse_Phenotypes_2022	Vertebral Fusion (MP:0004609)	2/43	0.0051806911627924	0.1474823820330627	0	0	20.23272357723577	106.48111760263689	XBP1;DNASE1L2
KOMP2_Mouse_Phenotypes_2022	Abnormal Vertebral Arch Morphology (MP:0004599)	2/46	0.0059097422436154	0.1474823820330627	0	0	18.85037878787879	96.72417883948356	TRIM9;XBP1
KOMP2_Mouse_Phenotypes_2022	Absent Pinna Reflex (MP:0006358)	2/47	0.0061625935135597	0.1474823820330627	0	0	18.43055555555556	93.79784429037068	MINAR2;OARD1
KOMP2_Mouse_Phenotypes_2022	Increased Total Body Fat Amount (MP:0010024)	4/307	0.0072008717065997	0.1474823820330627	0	0	5.638398622470943	27.817339509974182	MINAR2;XBP1;DNASE1L2;PDIA6
KOMP2_Mouse_Phenotypes_2022	Brachydactyly (MP:0002544)	1/5	0.0124387771927725	0.1474823820330627	0	0	101.76530612244898	446.4379351400606	DNASE1L2
KOMP2_Mouse_Phenotypes_2022	Abnormal Skin Pigmentation (MP:0002095)	1/5	0.0124387771927725	0.1474823820330627	0	0	101.76530612244898	446.4379351400606	DNASE1L2
KOMP2_Mouse_Phenotypes_2022	Decreased Cardiac Stroke Volume (MP:0011952)	1/5	0.0124387771927725	0.1474823820330627	0	0	101.76530612244898	446.4379351400606	DNASE1L2
KOMP2_Mouse_Phenotypes_2022	Thrombocytosis (MP:0005505)	2/69	0.0129153730394233	0.1474823820330627	0	0	12.36504975124378	53.77976800231812	ZRANB1;NFYA
KOMP2_Mouse_Phenotypes_2022	Increased IgG1 Level (MP:0008499)	1/6	0.0149082847993736	0.1474823820330627	0	0	81.40816326530613	342.3895623444841	NFYA
KOMP2_Mouse_Phenotypes_2022	Abnormal Hindlimb Morphology (MP:0000556)	1/6	0.0149082847993736	0.1474823820330627	0	0	81.40816326530613	342.3895623444841	DNASE1L2
KOMP2_Mouse_Phenotypes_2022	Abnormal Lens Morphology (MP:0001303)	3/214	0.0163712299817738	0.1474823820330627	0	0	5.971261470202682	24.55519908720985	XBP1;OARD1;DNASE1L2
KOMP2_Mouse_Phenotypes_2022	Abnormal Cornea Morphology (MP:0001312)	2/85	0.0191627543313976	0.1474823820330627	0	0	9.973393574297187	39.44264488506008	NFIL3;NAB2
KOMP2_Mouse_Phenotypes_2022	Decreased CD4-positive NK T Cell Number (MP:0013519)	1/9	0.0222805591236868	0.1474823820330627	0	0	50.87244897959184	193.52086993316271	PDIA6
KOMP2_Mouse_Phenotypes_2022	Abnormal Contextual Conditioning Behavior (MP:0001469)	1/9	0.0222805591236868	0.1474823820330627	0	0	50.87244897959184	193.52086993316271	NAB2
KOMP2_Mouse_Phenotypes_2022	Abnormal Tail Length (MP:0011999)	1/9	0.0222805591236868	0.1474823820330627	0	0	50.87244897959184	193.52086993316271	DNASE1L2
KOMP2_Mouse_Phenotypes_2022	Abnormal Urination (MP:0001756)	1/9	0.0222805591236868	0.1474823820330627	0	0	50.87244897959184	193.52086993316271	XBP1
KOMP2_Mouse_Phenotypes_2022	Enlarged Thyroid Gland (MP:0005355)	1/9	0.0222805591236868	0.1474823820330627	0	0	50.87244897959184	193.52086993316271	PDIA6
KOMP2_Mouse_Phenotypes_2022	Increased Circulating Calcium Level (MP:0000194)	2/96	0.0240556444712905	0.1474823820330627	0	0	8.801418439716311	32.80628046281635	NFYA;DNASE1L2
KOMP2_Mouse_Phenotypes_2022	Abnormal Motor Coordination/Balance (MP:0001516)	1/10	0.024725948817258	0.1474823820330627	0	0	45.21768707482993	167.3010120823387	RAP2B
KOMP2_Mouse_Phenotypes_2022	Increased Circulating Alanine Transaminase Level (MP:0002941)	3/257	0.0263859606329028	0.1474823820330627	0	0	4.949572792762607	17.991316996729047	RBM3;SNAPIN;DNASE1L2
KOMP2_Mouse_Phenotypes_2022	Decreased Body Length (MP:0001258)	3/258	0.0266503572098972	0.1474823820330627	0	0	4.92991239048811	17.870699352489467	MINAR2;NFYA;DNASE1L2
