Term	Methods Included	Methods Found Significant	enrichr Adjusted P-value	enrichr P-value	enrichr Combined Score	enrichr Genes	prerank FDR q-val	prerank NOM p-val	prerank NES	prerank Lead genes	wilcoxon FDR q-val	wilcoxon NOM p-val	wilcoxon NES	wilcoxon Lead genes
Abnormal Motor Capabilities/Coordination/Movement (MP:0002066)	1	1	0.0121414729783563	9.128927051395768e-05	1932.575689079997	NAB2;DNASE1L2								
Abnormal Head Morphology (MP:0000432)	1	0	0.1273983728892432	0.0019157650058532	216.47517339281177	NFYA;DNASE1L2								
Vertebral Fusion (MP:0004609)	1	0	0.1474823820330627	0.0051806911627924	106.48111760263689	XBP1;DNASE1L2								
Abnormal Vertebral Arch Morphology (MP:0004599)	1	0	0.1474823820330627	0.0059097422436154	96.72417883948356	TRIM9;XBP1								
Absent Pinna Reflex (MP:0006358)	1	0	0.1474823820330627	0.0061625935135597	93.79784429037068	MINAR2;OARD1								
Increased Total Body Fat Amount (MP:0010024)	1	0	0.1474823820330627	0.0072008717065997	27.817339509974182	MINAR2;XBP1;DNASE1L2;PDIA6								
Brachydactyly (MP:0002544)	1	0	0.1474823820330627	0.0124387771927725	446.4379351400606	DNASE1L2								
Abnormal Skin Pigmentation (MP:0002095)	1	0	0.1474823820330627	0.0124387771927725	446.4379351400606	DNASE1L2								
Decreased Cardiac Stroke Volume (MP:0011952)	1	0	0.1474823820330627	0.0124387771927725	446.4379351400606	DNASE1L2								
Thrombocytosis (MP:0005505)	1	0	0.1474823820330627	0.0129153730394233	53.77976800231812	ZRANB1;NFYA								
Increased IgG1 Level (MP:0008499)	1	0	0.1474823820330627	0.0149082847993736	342.3895623444841	NFYA								
Abnormal Hindlimb Morphology (MP:0000556)	1	0	0.1474823820330627	0.0149082847993736	342.3895623444841	DNASE1L2								
Abnormal Lens Morphology (MP:0001303)	1	0	0.1474823820330627	0.0163712299817738	24.55519908720985	XBP1;OARD1;DNASE1L2								
Abnormal Cornea Morphology (MP:0001312)	1	0	0.1474823820330627	0.0191627543313976	39.44264488506008	NFIL3;NAB2								
Decreased CD4-positive NK T Cell Number (MP:0013519)	1	0	0.1474823820330627	0.0222805591236868	193.52086993316271	PDIA6								
Abnormal Contextual Conditioning Behavior (MP:0001469)	1	0	0.1474823820330627	0.0222805591236868	193.52086993316271	NAB2								
Abnormal Tail Length (MP:0011999)	1	0	0.1474823820330627	0.0222805591236868	193.52086993316271	DNASE1L2								
Abnormal Urination (MP:0001756)	1	0	0.1474823820330627	0.0222805591236868	193.52086993316271	XBP1								
Enlarged Thyroid Gland (MP:0005355)	1	0	0.1474823820330627	0.0222805591236868	193.52086993316271	PDIA6								
Increased Circulating Calcium Level (MP:0000194)	1	0	0.1474823820330627	0.0240556444712905	32.80628046281635	NFYA;DNASE1L2								
Abnormal Motor Coordination/Balance (MP:0001516)	1	0	0.1474823820330627	0.024725948817258	167.3010120823387	RAP2B								
Increased Circulating Alanine Transaminase Level (MP:0002941)	1	0	0.1474823820330627	0.0263859606329028	17.991316996729047	RBM3;SNAPIN;DNASE1L2								
Decreased Body Length (MP:0001258)	1	0	0.1474823820330627	0.0266503572098972	17.870699352489467	MINAR2;NFYA;DNASE1L2								
Decreased Effector Memory T-helper Cell Number (MP:0013771)	1	0	0.1474823820330627	0.0271653448579923	146.73452100035948	TRIM9								
Abnormal Behavior (MP:0004924)	1	0	0.1474823820330627	0.0277222522618538	17.399771177530027	XBP1;RAP2B;NAB2								
Fusion Of Vertebral Arches (MP:0004613)	1	0	0.1514090495640247	0.029598761568907	130.2147194065139	DNASE1L2								
Abnormal Nail Morphology (MP:0000579)	1	0	0.1521245129316243	0.032026213248763	116.6847899929619	DNASE1L2								
Abnormal Autopod Morphology (MP:0000572)	1	0	0.1521245129316243	0.032026213248763	116.6847899929619	DNASE1L2								
Abnormal Retina Pigmentation (MP:0005103)	1	0	0.1690626225155048	0.0368632785936063	95.91771596133704	NFYA								
Increased Body Weight (MP:0001260)	1	0	0.1732185964760641	0.0392729207344652	87.80133530116419	XBP1								
Decreased Body Weight (MP:0001262)	1	0	0.1732185964760641	0.0413519534712599	20.718128222258283	NFYA;DNASE1L2								
Decreased Large Unstained Cell Number (MP:0012361)	1	0	0.1732185964760641	0.0416766547912334	80.79916728086499	XBP1								
Decreased Bone Mineral Content (MP:0010124)	1	0	0.1765725301219258	0.0458099384745288	12.188777096365673	MINAR2;NFIL3;DNASE1L2								
Decreased Circulating Cholesterol Level (MP:0005179)	1	0	0.1765725301219258	0.0460802533373535	18.820401760879264	XBP1;NAB2								
Abnormal Maxilla Morphology (MP:0000455)	1	0	0.1765725301219258	0.0464664552952436	69.35578082800635	DNASE1L2								
Abnormal Tibia Morphology (MP:0000558)	1	0	0.1863380981975064	0.0512327930672156	60.42807445408675	DNASE1L2								
Abnormal Freezing Behavior (MP:0020420)	1	0	0.1863380981975064	0.0536071985992547	56.67024999786951	NAB2								
Decreased Grip Strength (MP:0010053)	1	0	0.1863380981975064	0.0558131639245667	10.498130892947236	SDF2L1;NFYA;DNASE1L2								
Lipid Deposition (MPATH:42)	1	0	0.1863380981975064	0.0559757805878795	53.29235549319145	DNASE1L2								
Abnormal Heart Left Ventricle Morphology (MP:0003921)	1	0	0.1863380981975064	0.0583385530130099	50.24171555062859	DNASE1L2								
Decreased T Cell Number (MP:0005018)	1	0	0.1863380981975064	0.0583385530130099	50.24171555062859	XBP1								
Persistence Of Hyaloid Vascular System (MP:0001289)	1	0	0.1863380981975064	0.0606978560721617	14.623985726935691	XBP1;DNASE1L2								
Fused Cornea And Lens (MP:0001307)	1	0	0.1863380981975064	0.0630467249540435	44.95534064809558	SNAPIN								
Decreased Circulating Sodium Level (MP:0005634)	1	0	0.1863380981975064	0.0630467249540435	44.95534064809558	TRIM9								
Increased Circulating Fructosamine Level (MP:0010087)	1	0	0.1863380981975064	0.0630467249540435	44.95534064809558	NFYA								
Small Thymus (MP:0000706)	1	0	0.194140540111433	0.0677318256109869	40.54171043527237	NFIL3								
Inflammation (MPATH:212)	1	0	0.194140540111433	0.0700657588372089	38.5999069065122	NFIL3								
Abnormal Joint Morphology (MP:0002932)	1	0	0.194140540111433	0.0700657588372089	38.5999069065122	DNASE1L2								
Abnormal Spine Curvature (MP:0004174)	1	0	0.1964979069244785	0.0723939657090184	36.80874147674154	DNASE1L2								
Abnormal Bone Mineralization (MP:0002896)	1	0	0.2008906465207449	0.0770332554327668	33.61600807740255	XBP1								
Abnormal Cecum Morphology (MP:0000494)	1	0	0.2008906465207449	0.0770332554327668	33.61600807740255	NFIL3								
Decreased Spleen Weight (MP:0004953)	1	0	0.2029384738248006	0.0793443657059371	32.18837516559274	TRIM9								
Small Superior Vagus Ganglion (MP:0001102)	1	0	0.210665940623624	0.0839495853612937	29.61744503578088	DNASE1L2								
Decreased Circulating Glucose Level (MP:0005560)	1	0	0.2149733024499172	0.0922833915179302	9.706545652223769	MINAR2;RAP2B								
Decreased Red Blood Cell Distribution Width (MP:0010068)	1	0	0.2149733024499172	0.0930924017046572	25.38900533231373	XBP1								
Abnormal Vertebrae Morphology (MP:0000137)	1	0	0.2149733024499172	0.0930924017046572	25.38900533231373	DNASE1L2								
Increased Thigmotaxis (MP:0002797)	1	0	0.2149733024499172	0.0953640965755271	24.485561288951835	NAB2								
Abnormal Lung Morphology (MP:0001175)	1	0	0.2149733024499172	0.0953640965755271	24.485561288951835	TRIM9								
Eye Hemorrhage (MP:0006203)	1	0	0.2149733024499172	0.0953640965755271	24.485561288951835	DNASE1L2								
Increased Anxiety-Related Response (MP:0001363)	1	0	0.2164136425512361	0.0976302146847681	23.633660200289185	NAB2								
Abnormal Stomach Morphology (MP:0000470)	1	0	0.2251271733006398	0.1043952424647777	21.34849709415977	DNASE1L2								
Abnormal Bone Structure (MP:0003795)	1	0	0.2251271733006398	0.1063358451081965	8.374610909283374	MINAR2;DNASE1L2								
Abnormal Pancreas Morphology (MP:0001944)	1	0	0.2251271733006398	0.1066391873529346	20.665901611884028	NFIL3								
Abnormal Liver Morphology (MP:0000598)	1	0	0.2283932723228703	0.1111433158796152	7.989001019548246	RBM3;NAB2								
Abnormal Cholesterol Homeostasis (MP:0005278)	1	0	0.2283932723228703	0.1133380148369131	18.81737166641443	DNASE1L2								
Decreased Circulating Chloride Level (MP:0003020)	1	0	0.2283932723228703	0.1133380148369131	18.81737166641443	HSPA5								
Decreased Circulating Phosphate Level (MP:0000198)	1	0	0.2407879622058666	0.1265883240687765	15.834970375184442	MINAR2								
Increased Cornea Thickness (MP:0011962)	1	0	0.2407879622058666	0.1265883240687765	15.834970375184442	NECAP1								
Abnormal Digit Morphology (MP:0002110)	1	0	0.2407879622058666	0.1265883240687765	15.834970375184442	DNASE1L2								
Decreased Bone Mineral Density (MP:0000063)	1	0	0.2407879622058666	0.1267305064241403	6.922528844430928	MINAR2;DNASE1L2								
Increased Heart Weight (MP:0002833)	1	0	0.2459401129712894	0.1317582069542016	6.627767796360294	HSPA5;DNASE1L2								
Abnormal Tail Morphology (MP:0002111)	1	0	0.2459401129712894	0.1331405122852093	14.618539131965724	DNASE1L2								
Increased Circulating Serum Albumin Level (MP:0002965)	1	0	0.2465307161834957	0.1353138517398134	14.246025949065045	MCF2L								
Decreased Circulating Iron Level (MP:0004151)	1	0	0.250982723866319	0.1396445230534406	13.544974303558986	RAP2B								
Decreased Lean Body Mass (MP:0003961)	1	0	0.2685514777430503	0.1514388032385622	5.647794954768845	MINAR2;DNASE1L2								
Abnormal Coat Appearance (MP:0001510)	1	0	0.270611488542485	0.1546351363099914	11.477180657220888	RAP2B								
Increased Lean Body Mass (MP:0003960)	1	0	0.2736333609208433	0.1584193142173303	5.354385963176766	XBP1;ZRANB1								
Abnormal Cranium Morphology (MP:0000438)	1	0	0.2816237442200222	0.1651856959101235	10.28911103101624	DNASE1L2								
Abnormal Optic Disk Morphology (MP:0008259)	1	0	0.2816237442200222	0.1672802691231711	10.074701240888364	DNASE1L2								
Increased Circulating Potassium Level (MP:0005627)	1	0	0.2994978824258896	0.181798760490535	8.751529842637671	SNAPIN								
Embryonic Lethality Prior To Tooth Bud Stage (MP:0013293)	1	0	0.2994978824258896	0.1824009659886996	4.506486301143326	SNAPIN;HSPA5								
Abnormal Startle Reflex (MP:0001486)	1	0	0.3081437374295236	0.1899833569114356	8.112979399077096	NFYA								
Abnormal Eye Morphology (MP:0002092)	1	0	0.3130997449762424	0.1977743827467704	4.064827621524088	NFYA;DNASE1L2								
Hyperactivity (MP:0001399)	1	0	0.3130997449762424	0.1979481513524272	3.272383749337803	RAP2B;DNAJB5;NAB2								
Abnormal Locomotor Behavior (MP:0001392)	1	0	0.3130997449762424	0.2001013407742902	7.411084001248333	GFOD1								
Decreased Circulating Triglyceride Level (MP:0002644)	1	0	0.3156643064928462	0.2041137620931186	7.156255051106618	XBP1								
Decreased Locomotor Activity (MP:0001402)	1	0	0.3260922933563002	0.2133084926466024	3.6799229289674416	NAB2;DNASE1L2								
Abnormal Vocalization (MP:0001529)	1	0	0.3294810719152011	0.2180025137484037	6.362519703204576	DNASE1L2								
Increased Spleen Weight (MP:0004952)	1	0	0.3345650360683174	0.2238818662412048	6.062906014187368	NFIL3								
Increased Mean Corpuscular Hemoglobin Concentration (MP:0005641)	1	0	0.3394719975435482	0.2297178930745814	5.78423168094792	DNASE1L2								
Increased Monocyte Cell Number (MP:0000220)	1	0	0.3442082487046112	0.2355109070084182	5.524525481436682	MCF2L								
Increased Bone Mineral Density (MP:0000062)	1	0	0.3460156533413209	0.239349173739861	5.361058744932435	NFYA								
Decreased Leukocyte Cell Number (MP:0000221)	1	0	0.3719705729277828	0.2619853133921213	4.517283552621874	XBP1								
Thrombocytopenia (MP:0003179)	1	0	0.3719705729277828	0.2656932663769877	4.396166676729281	XBP1								
Decreased Circulating HDL Cholesterol Level (MP:0000186)	1	0	0.3719705729277828	0.2656932663769877	4.396166676729281	NAB2								
Increased Circulating Sodium Level (MP:0005633)	1	0	0.373056122807	0.2730544838638846	4.167997377843627	SNAPIN								
Hydrometra (MP:0009709)	1	0	0.373056122807	0.2730544838638846	4.167997377843627	DNASE1L2								
Increased Circulating Phosphate Level (MP:0001566)	1	0	0.373056122807	0.274883458910421	4.113704308580095	MCF2L								
