comparison_type	method1	method2	chi2	p_value	significant	contingency_shape	p_corrected	significant_corrected
clustering_vs_biological	gmm	biological_groups	9.984004203091821	0.07568975074009444	False	(6, 2)	1.0	False
clustering_vs_biological	kmeans	biological_groups	8.185298141173234	0.14631482530123735	False	(6, 2)	1.0	False
clustering_vs_biological	spectral	biological_groups	141.66760642642905	7.909675027613526e-29	True	(6, 2)	9.491610033136232e-27	True
clustering_vs_biological	gmm_gmm_genes10000	biological_groups	9.984004203091821	0.07568975074009444	False	(6, 2)	1.0	False
clustering_vs_biological	gmm_gmm_genes1000	biological_groups	11.677612083066682	0.039482474236619075	True	(6, 2)	1.0	False
clustering_vs_biological	gmm_gmm_genes100	biological_groups	29.637735553947262	1.7378500872013832e-05	True	(6, 2)	0.00208542010464166	True
clustering_vs_biological	gmm_gmm_genes10	biological_groups	112.09775844265832	1.475928320502471e-22	True	(6, 2)	1.7711139846029654e-20	True
clustering_vs_biological	kmeans_kmeans_genes10000	biological_groups	8.185298141173234	0.14631482530123735	False	(6, 2)	1.0	False
clustering_vs_biological	kmeans_kmeans_genes1000	biological_groups	10.418466280512732	0.0642101740072414	False	(6, 2)	1.0	False
clustering_vs_biological	kmeans_kmeans_genes100	biological_groups	13.48410637882092	0.019240820300829176	True	(6, 2)	1.0	False
clustering_vs_biological	kmeans_kmeans_genes10	biological_groups	14.033775903883143	0.015396284581954004	True	(6, 2)	1.0	False
clustering_vs_biological	spectral_spectral_genes10000	biological_groups	141.66760642642905	7.909675027613526e-29	True	(6, 2)	9.491610033136232e-27	True
clustering_vs_biological	spectral_spectral_genes1000	biological_groups	109.88570520711401	4.331663791340869e-22	True	(6, 2)	5.1979965496090434e-20	True
clustering_vs_biological	spectral_spectral_genes100	biological_groups	25.150654731948528	0.00013030391182042994	True	(6, 2)	0.015636469418451593	True
clustering_vs_biological	spectral_spectral_genes10	biological_groups	174.2426790489829	9.071713339971949e-36	True	(6, 2)	1.088605600796634e-33	True
method_vs_method	gmm	kmeans	1441.6760559812403	4.78526875357754e-289	True	(6, 6)	5.742322504293048e-287	True
method_vs_method	gmm	spectral	1041.0977212686303	1.0996857718950578e-203	True	(6, 6)	1.3196229262740694e-201	True
method_vs_method	gmm	gmm_gmm_genes10000	2415.0	0.0	True	(6, 6)	0.0	True
method_vs_method	gmm	gmm_gmm_genes1000	1723.8701967133256	0.0	True	(6, 6)	0.0	True
method_vs_method	gmm	gmm_gmm_genes100	554.0861950118524	4.49908444655872e-101	True	(6, 6)	5.3989013358704634e-99	True
method_vs_method	gmm	gmm_gmm_genes10	690.0427018033345	1.6703742919272744e-129	True	(6, 6)	2.0044491503127293e-127	True
method_vs_method	gmm	kmeans_kmeans_genes10000	1441.6760559812403	4.78526875357754e-289	True	(6, 6)	5.742322504293048e-287	True
method_vs_method	gmm	kmeans_kmeans_genes1000	1875.8233846153844	0.0	True	(6, 6)	0.0	True
method_vs_method	gmm	kmeans_kmeans_genes100	602.4556532705783	3.684110726651182e-111	True	(6, 6)	4.420932871981418e-109	True
method_vs_method	gmm	kmeans_kmeans_genes10	663.4756749091132	6.255767411970954e-124	True	(6, 6)	7.506920894365144e-122	True
method_vs_method	gmm	spectral_spectral_genes10000	1041.0977212686303	1.0996857718950578e-203	True	(6, 6)	1.3196229262740694e-201	True
