	gmm	gmm_gmm_genes10	gmm_gmm_genes100	gmm_gmm_genes1000	gmm_gmm_genes10000	gmm_gmm_k10	gmm_gmm_k2	gmm_gmm_k4	gmm_gmm_k6	gmm_gmm_k8	kmeans	kmeans_kmeans_genes10	kmeans_kmeans_genes100	kmeans_kmeans_genes1000	kmeans_kmeans_genes10000	kmeans_kmeans_k10	kmeans_kmeans_k2	kmeans_kmeans_k4	kmeans_kmeans_k6	kmeans_kmeans_k8	spectral	spectral_spectral_genes10	spectral_spectral_genes100	spectral_spectral_genes1000	spectral_spectral_genes10000	spectral_spectral_k10	spectral_spectral_k2	spectral_spectral_k4	spectral_spectral_k6	spectral_spectral_k8
gmm	0	690.0427018033345	554.0861950118524	1723.8701967133256	2415.0	1800.8249995510394	483.0000000000001	1409.4301075268818	2415.0	1773.2893352153753	1441.6760559812403	663.4756749091132	602.4556532705783	1875.8233846153844	1441.6760559812403	1934.562669579619	483.0000000000001	1166.7275835968967	1441.6760559812403	1773.2893352153753	1041.0977212686303	647.8895642340099	1022.3955280447632	1169.7875626217565	1041.0977212686303	1268.177846708893	196.52905525846705	796.9032882011605	1041.0977212686303	962.2088535582512
gmm_gmm_genes10	690.0427018033345	0	553.1247724424686	672.6682481870154	690.0427018033345	742.847514023919	483.0	508.80768003688695	690.0427018033345	701.8006900145949	625.7299350356028	1809.5813270169565	567.4142888277298	676.5055304217991	625.7299350356027	753.9910000701058	483.0	487.58261660575886	625.7299350356028	701.8006900145949	549.1576094332867	1308.3471076001122	589.3905319387845	614.2700380263022	549.1576094332866	712.9268231393346	63.09423271464058	299.64100668388386	549.1576094332867	506.73259621412427
gmm_gmm_genes100	554.0861950118524	553.1247724424686	0	672.1904112379452	554.0861950118524	854.7445240850572	483.00000000000006	505.63905096805155	554.0861950118524	801.5287229744032	717.5163401935183	594.0663189639151	1477.3227970989224	646.4594103541418	717.5163401935183	787.4260372454427	483.00000000000006	551.6788278295601	717.5163401935183	801.5287229744032	507.0698088452207	614.9587161256513	1103.3807222836515	458.7313122940979	507.06980884522073	636.3997212452338	31.29227513845955	178.59699805523002	507.0698088452207	475.3144036771471
gmm_gmm_genes1000	1723.8701967133256	672.6682481870154	672.1904112379452	0	1723.8701967133256	1649.9780518471428	483.00000000000006	975.5627240143369	1723.8701967133256	1500.3058467189378	1232.6797469719825	648.1515815142977	661.5662053303568	1391.4000738461539	1232.6797469719827	1733.3298688338689	483.00000000000006	1042.2020202020203	1232.6797469719825	1500.3058467189378	1051.814204785114	656.3837391536953	696.9212837593637	1135.6069494032618	1051.8142047851143	1240.83283072127	196.52905525846705	760.2383051639076	1051.814204785114	1015.5150680210922
gmm_gmm_genes10000	2415.0	690.0427018033345	554.0861950118524	1723.8701967133256	0	1800.8249995510391	483.00000000000006	1409.4301075268818	2415.0	1773.2893352153753	1441.6760559812408	663.4756749091132	602.4556532705783	1875.8233846153844	1441.6760559812403	1934.5626695796186	483.00000000000006	1166.7275835968967	1441.6760559812408	1773.2893352153753	1041.0977212686305	647.8895642340099	1022.3955280447632	1169.7875626217565	1041.0977212686303	1268.177846708893	196.529055258467	796.9032882011605	1041.0977212686305	962.2088535582512
gmm_gmm_k10	1800.8249995510394	742.847514023919	854.7445240850572	1649.9780518471428	1800.8249995510391	0	483.0	1087.9394315362056	1800.8249995510391	3381.0	2415.0	734.6844727210348	809.4131278166043	1802.7151346186067	2414.9999999999995	3497.2199692536824	483.0	1338.3426573426573	2414.9999999999995	3381.0	1576.5240298654091	851.3708894019154	897.5198676625091	1569.3079623239623	1576.5240298654091	2162.512692983095	251.97504456327985	951.7773000611137	1576.5240298654091	1746.1759319834136
gmm_gmm_k2	483.0000000000001	483.0	483.00000000000006	483.00000000000006	483.00000000000006	483.0	0	455.0288412017167	483.00000000000006	483.0	457.5325533179267	483.0	483.0	483.0	457.5325533179267	483.00000000000006	479.0033407568384	455.0288412017167	457.5325533179267	483.0	320.2205699570816	483.0	483.00000000000006	383.3606425193406	320.2205699570815	390.1369931958547	21.54844871875789	152.61608098326016	320.2205699570815	234.5958897564507
gmm_gmm_k4	1409.4301075268818	508.80768003688695	505.63905096805155	975.5627240143369	1409.4301075268818	1087.9394315362056	455.0288412017167	0	1409.4301075268818	1087.9394315362058	1012.4320683111955	486.33733560749	518.3935044926664	1376.1913978494622	1012.4320683111954	1198.5967741935483	455.0288412017168	1198.5967741935483	1012.4320683111954	1087.9394315362058	535.9264518516131	475.69006371869983	968.2337073266197	663.8202646538268	535.9264518516131	907.2966168371361	168.3660130718954	468.8384096869645	535.9264518516131	433.4139254265177
gmm_gmm_k6	2415.0	690.0427018033345	554.0861950118524	1723.8701967133256	2415.0	1800.8249995510391	483.00000000000006	1409.4301075268818	0	1773.2893352153753	1441.6760559812408	663.4756749091132	602.4556532705783	1875.8233846153844	1441.6760559812403	1934.562669579619	483.0000000000001	1166.7275835968967	1441.6760559812403	1773.2893352153753	1041.0977212686305	647.8895642340099	1022.3955280447632	1169.7875626217565	1041.0977212686303	1268.177846708893	196.52905525846705	796.9032882011605	1041.0977212686303	962.2088535582512
gmm_gmm_k8	1773.2893352153753	701.8006900145949	801.5287229744032	1500.3058467189378	1773.2893352153753	3381.0	483.0	1087.9394315362058	1773.2893352153753	0	2415.0	700.5065174463631	763.6438531137331	1799.1292255276978	2415.0	3151.3296466730376	483.00000000000006	1338.3426573426573	2415.0	3381.0	1353.8886763300557	748.3412756170076	863.009327045746	1391.863451425504	1353.8886763300557	1877.483685548635	251.97504456327982	951.7773000611137	1353.8886763300557	1421.6231368370443
kmeans	1441.6760559812403	625.7299350356028	717.5163401935183	1232.6797469719825	1441.6760559812408	2415.0	457.5325533179267	1012.4320683111955	1441.6760559812408	2415.0	0	630.3520299570641	641.1507758905354	1618.0847687748874	2415.0	2354.596894028267	457.5325533179267	1262.835294117647	2415.0	2415.0	993.1045873516462	680.6236776671277	797.7111607564617	1112.2857333830834	993.1045873516462	1605.797510922045	94.33448673587081	723.6579110286227	993.1045873516462	988.0643058594866
kmeans_kmeans_genes10	663.4756749091132	1809.5813270169565	594.0663189639151	648.1515815142977	663.4756749091132	734.6844727210348	483.0	486.33733560749	663.4756749091132	700.5065174463631	630.3520299570641	0	992.5998293501882	677.9238479811675	630.3520299570641	714.8496750684676	483.0	464.78655478688677	630.3520299570641	700.5065174463631	493.5761083455587	1438.6780135614101	1004.4562417872805	530.5747202035934	493.5761083455587	586.2338650611928	26.490238714107996	258.7077613915186	493.5761083455587	445.76949202099377
kmeans_kmeans_genes100	602.4556532705783	567.4142888277298	1477.3227970989224	661.5662053303568	602.4556532705783	809.4131278166043	483.0	518.3935044926664	602.4556532705783	763.6438531137331	641.1507758905354	992.5998293501882	0	694.0082541311285	641.1507758905354	786.9014080960015	483.0	487.7162809172263	641.1507758905354	763.6438531137331	548.4695081242435	538.1778295907587	1546.8981613860328	453.0223610139054	548.4695081242435	614.4288748545616	25.15097232308561	187.21783306347822	548.4695081242435	548.5780490983468
kmeans_kmeans_genes1000	1875.8233846153844	676.5055304217991	646.4594103541418	1391.4000738461539	1875.8233846153844	1802.7151346186067	483.0	1376.1913978494622	1875.8233846153844	1799.1292255276978	1618.0847687748874	677.9238479811675	694.0082541311285	0	1618.0847687748874	2041.4391211144123	483.0	1132.215534290271	1618.0847687748874	1799.1292255276978	1042.1866441772993	638.1073639004055	1079.127276418461	1225.8465884637646	1042.1866441772993	1356.1527082390908	196.52905525846703	763.6989494664839	1042.1866441772993	1058.042736968269
kmeans_kmeans_genes10000	1441.6760559812403	625.7299350356027	717.5163401935183	1232.6797469719827	1441.6760559812403	2414.9999999999995	457.5325533179267	1012.4320683111954	1441.6760559812403	2415.0	2415.0	630.3520299570641	641.1507758905354	1618.0847687748874	0	2354.5968940282664	457.5325533179267	1262.835294117647	2415.0	2415.0	993.1045873516462	680.6236776671277	797.7111607564617	1112.2857333830834	993.1045873516462	1605.7975109220447	94.33448673587081	723.6579110286227	993.1045873516462	988.0643058594866
kmeans_kmeans_k10	1934.562669579619	753.9910000701058	787.4260372454427	1733.3298688338689	1934.5626695796186	3497.2199692536824	483.00000000000006	1198.5967741935483	1934.562669579619	3151.3296466730376	2354.596894028267	714.8496750684676	786.9014080960015	2041.4391211144123	2354.5968940282664	0	483.00000000000006	1449.0	2354.5968940282664	3151.329646673037	1948.8073899031085	797.8223411716408	912.9965167730411	2074.993421052632	1948.8073899031085	2668.300871322308	482.99999999999994	1188.7700754975976	1948.8073899031085	2322.0094708134925
kmeans_kmeans_k2	483.0000000000001	483.0	483.00000000000006	483.00000000000006	483.00000000000006	483.0	479.0033407568384	455.0288412017168	483.0000000000001	483.00000000000006	457.5325533179267	483.0	483.0	483.0	457.5325533179267	483.00000000000006	0	455.0288412017167	457.5325533179267	483.0	320.2205699570816	483.0	483.00000000000006	383.3606425193406	320.2205699570815	390.1369931958547	21.54844871875789	152.61608098326016	320.2205699570815	234.5958897564507
kmeans_kmeans_k4	1166.7275835968967	487.58261660575886	551.6788278295601	1042.2020202020203	1166.7275835968967	1338.3426573426573	455.0288412017167	1198.5967741935483	1166.7275835968967	1338.3426573426573	1262.835294117647	464.78655478688677	487.7162809172263	1132.215534290271	1262.835294117647	1449.0	455.0288412017167	0	1262.835294117647	1338.3426573426573	546.9650454029402	470.88105592306215	721.2489422234482	676.9637141034709	546.9650454029402	1125.4781188003267	168.3660130718954	477.5255964343718	546.9650454029402	443.76251279459893
kmeans_kmeans_k6	1441.6760559812403	625.7299350356028	717.5163401935183	1232.6797469719825	1441.6760559812408	2414.9999999999995	457.5325533179267	1012.4320683111954	1441.6760559812403	2415.0	2415.0	630.3520299570641	641.1507758905354	1618.0847687748874	2415.0	2354.5968940282664	457.5325533179267	1262.835294117647	0	2415.0	993.1045873516462	680.6236776671277	797.7111607564617	1112.2857333830834	993.1045873516462	1605.797510922045	94.33448673587081	723.6579110286227	993.1045873516462	988.0643058594866
kmeans_kmeans_k8	1773.2893352153753	701.8006900145949	801.5287229744032	1500.3058467189378	1773.2893352153753	3381.0	483.0	1087.9394315362058	1773.2893352153753	3381.0	2415.0	700.5065174463631	763.6438531137331	1799.1292255276978	2415.0	3151.329646673037	483.0	1338.3426573426573	2415.0	0	1353.8886763300557	748.3412756170076	863.009327045746	1391.863451425504	1353.8886763300557	1877.483685548635	251.97504456327982	951.7773000611137	1353.8886763300557	1421.6231368370443
spectral	1041.0977212686303	549.1576094332867	507.0698088452207	1051.814204785114	1041.0977212686305	1576.5240298654091	320.2205699570816	535.9264518516131	1041.0977212686305	1353.8886763300557	993.1045873516462	493.5761083455587	548.4695081242435	1042.1866441772993	993.1045873516462	1948.8073899031085	320.2205699570816	546.9650454029402	993.1045873516462	1353.8886763300557	0	526.9817640769564	494.87489517819705	1210.0360362225197	2415.0	1686.0775576480678	483.00000000000006	995.3714245455827	2415.0	1768.4001257555474
spectral_spectral_genes10	647.8895642340099	1308.3471076001122	614.9587161256513	656.3837391536953	647.8895642340099	851.3708894019154	483.0	475.69006371869983	647.8895642340099	748.3412756170076	680.6236776671277	1438.6780135614101	538.1778295907587	638.1073639004055	680.6236776671277	797.8223411716408	483.0	470.88105592306215	680.6236776671277	748.3412756170076	526.9817640769564	0	552.6547325975953	746.9626405190794	526.9817640769564	703.2711862745675	50.34573757818539	333.3666198698262	526.9817640769564	494.51000464252365
spectral_spectral_genes100	1022.3955280447632	589.3905319387845	1103.3807222836515	696.9212837593637	1022.3955280447632	897.5198676625091	483.00000000000006	968.2337073266197	1022.3955280447632	863.009327045746	797.7111607564617	1004.4562417872805	1546.8981613860328	1079.127276418461	797.7111607564617	912.9965167730411	483.00000000000006	721.2489422234482	797.7111607564617	863.009327045746	494.87489517819705	552.6547325975953	0	462.08016746303116	494.87489517819705	723.0478373930694	45.49588523040243	206.97179178492325	494.87489517819705	438.7281659186787
spectral_spectral_genes1000	1169.7875626217565	614.2700380263022	458.7313122940979	1135.6069494032618	1169.7875626217565	1569.3079623239623	383.3606425193406	663.8202646538268	1169.7875626217565	1391.863451425504	1112.2857333830834	530.5747202035934	453.0223610139054	1225.8465884637646	1112.2857333830834	2074.993421052632	383.3606425193406	676.9637141034709	1112.2857333830834	1391.863451425504	1210.0360362225197	746.9626405190794	462.08016746303116	0	1210.0360362225197	1924.108172939339	483.00000000000006	966.0	1210.0360362225197	1810.7667247939123
spectral_spectral_genes10000	1041.0977212686303	549.1576094332866	507.06980884522073	1051.8142047851143	1041.0977212686303	1576.5240298654091	320.2205699570815	535.9264518516131	1041.0977212686303	1353.8886763300557	993.1045873516462	493.5761083455587	548.4695081242435	1042.1866441772993	993.1045873516462	1948.8073899031085	320.2205699570815	546.9650454029402	993.1045873516462	1353.8886763300557	2415.0	526.9817640769564	494.87489517819705	1210.0360362225197	0	1686.0775576480678	483.00000000000006	995.3714245455827	2415.0	1768.4001257555474
spectral_spectral_k10	1268.177846708893	712.9268231393346	636.3997212452338	1240.83283072127	1268.177846708893	2162.512692983095	390.1369931958547	907.2966168371361	1268.177846708893	1877.483685548635	1605.797510922045	586.2338650611928	614.4288748545616	1356.1527082390908	1605.7975109220447	2668.300871322308	390.1369931958547	1125.4781188003267	1605.797510922045	1877.483685548635	1686.0775576480678	703.2711862745675	723.0478373930694	1924.108172939339	1686.0775576480678	0	483.0000000000001	877.8614861884845	1686.0775576480678	2708.4569438136878
spectral_spectral_k2	196.52905525846705	63.09423271464058	31.29227513845955	196.52905525846705	196.529055258467	251.97504456327985	21.54844871875789	168.3660130718954	196.52905525846705	251.97504456327982	94.33448673587081	26.490238714107996	25.15097232308561	196.52905525846703	94.33448673587081	482.99999999999994	21.54844871875789	168.3660130718954	94.33448673587081	251.97504456327982	483.00000000000006	50.34573757818539	45.49588523040243	483.00000000000006	483.00000000000006	483.0000000000001	0	483.00000000000006	483.00000000000006	483.00000000000006
spectral_spectral_k4	796.9032882011605	299.64100668388386	178.59699805523002	760.2383051639076	796.9032882011605	951.7773000611137	152.61608098326016	468.8384096869645	796.9032882011605	951.7773000611137	723.6579110286227	258.7077613915186	187.21783306347822	763.6989494664839	723.6579110286227	1188.7700754975976	152.61608098326016	477.5255964343718	723.6579110286227	951.7773000611137	995.3714245455827	333.3666198698262	206.97179178492325	966.0	995.3714245455827	877.8614861884845	483.00000000000006	0	995.3714245455827	694.7677331843933
spectral_spectral_k6	1041.0977212686303	549.1576094332867	507.0698088452207	1051.814204785114	1041.0977212686305	1576.5240298654091	320.2205699570815	535.9264518516131	1041.0977212686303	1353.8886763300557	993.1045873516462	493.5761083455587	548.4695081242435	1042.1866441772993	993.1045873516462	1948.8073899031085	320.2205699570815	546.9650454029402	993.1045873516462	1353.8886763300557	2415.0	526.9817640769564	494.87489517819705	1210.0360362225197	2415.0	1686.0775576480678	483.00000000000006	995.3714245455827	0	1768.4001257555474
spectral_spectral_k8	962.2088535582512	506.73259621412427	475.3144036771471	1015.5150680210922	962.2088535582512	1746.1759319834136	234.5958897564507	433.4139254265177	962.2088535582512	1421.6231368370443	988.0643058594866	445.76949202099377	548.5780490983468	1058.042736968269	988.0643058594866	2322.0094708134925	234.5958897564507	443.76251279459893	988.0643058594866	1421.6231368370443	1768.4001257555474	494.51000464252365	438.7281659186787	1810.7667247939123	1768.4001257555474	2708.4569438136878	483.00000000000006	694.7677331843933	1768.4001257555474	0
