method1	method2	chi2	p_value	significant	contingency_shape
gmm	kmeans	1441.6760559812403	4.78526875357754e-289	True	(6, 6)
gmm	spectral	1041.0977212686303	1.0996857718950578e-203	True	(6, 6)
gmm	gmm_gmm_k10	1800.8249995510394	0.0	True	(6, 10)
gmm	gmm_gmm_k2	483.0000000000001	3.726634504088365e-102	True	(6, 2)
gmm	gmm_gmm_k4	1409.4301075268818	1.549225574074097e-291	True	(6, 4)
gmm	gmm_gmm_k6	2415.0	0.0	True	(6, 6)
gmm	gmm_gmm_k8	1773.2893352153753	0.0	True	(6, 8)
gmm	kmeans_kmeans_k10	1934.562669579619	0.0	True	(6, 10)
gmm	kmeans_kmeans_k2	483.0000000000001	3.726634504088365e-102	True	(6, 2)
gmm	kmeans_kmeans_k4	1166.7275835968967	2.2890525203208233e-239	True	(6, 4)
gmm	kmeans_kmeans_k6	1441.6760559812403	4.78526875357754e-289	True	(6, 6)
gmm	kmeans_kmeans_k8	1773.2893352153753	0.0	True	(6, 8)
gmm	spectral_spectral_k10	1268.177846708893	3.1825591450193837e-236	True	(6, 10)
gmm	spectral_spectral_k2	196.52905525846705	1.5697456122819663e-40	True	(6, 2)
gmm	spectral_spectral_k4	796.9032882011605	3.9091582524417067e-160	True	(6, 4)
gmm	spectral_spectral_k6	1041.0977212686303	1.0996857718950578e-203	True	(6, 6)
gmm	spectral_spectral_k8	962.2088535582512	2.5027838439336137e-179	True	(6, 8)
gmm	gmm_gmm_genes10000	2415.0	0.0	True	(6, 6)
gmm	gmm_gmm_genes1000	1723.8701967133256	0.0	True	(6, 6)
gmm	gmm_gmm_genes100	554.0861950118524	4.49908444655872e-101	True	(6, 6)
gmm	gmm_gmm_genes10	690.0427018033345	1.6703742919272744e-129	True	(6, 6)
gmm	kmeans_kmeans_genes10000	1441.6760559812403	4.78526875357754e-289	True	(6, 6)
gmm	kmeans_kmeans_genes1000	1875.8233846153844	0.0	True	(6, 6)
gmm	kmeans_kmeans_genes100	602.4556532705783	3.684110726651182e-111	True	(6, 6)
gmm	kmeans_kmeans_genes10	663.4756749091132	6.255767411970954e-124	True	(6, 6)
gmm	spectral_spectral_genes10000	1041.0977212686303	1.0996857718950578e-203	True	(6, 6)
gmm	spectral_spectral_genes1000	1169.7875626217565	4.7602412587097584e-231	True	(6, 6)
gmm	spectral_spectral_genes100	1022.3955280447632	1.028117308698927e-199	True	(6, 6)
gmm	spectral_spectral_genes10	647.8895642340099	1.1545379255620765e-120	True	(6, 6)
kmeans	spectral	993.1045873516462	1.688915171317829e-193	True	(6, 6)
kmeans	gmm_gmm_k10	2415.0	0.0	True	(6, 10)
kmeans	gmm_gmm_k2	457.5325533179267	1.165104050466315e-96	True	(6, 2)
kmeans	gmm_gmm_k4	1012.4320683111955	2.916228752025203e-206	True	(6, 4)
kmeans	gmm_gmm_k6	1441.6760559812408	4.7852687535769955e-289	True	(6, 6)
kmeans	gmm_gmm_k8	2415.0	0.0	True	(6, 8)
kmeans	kmeans_kmeans_k10	2354.596894028267	0.0	True	(6, 10)
kmeans	kmeans_kmeans_k2	457.5325533179267	1.165104050466315e-96	True	(6, 2)
kmeans	kmeans_kmeans_k4	1262.835294117647	5.166693103496543e-260	True	(6, 4)
kmeans	kmeans_kmeans_k6	2415.0	0.0	True	(6, 6)
kmeans	kmeans_kmeans_k8	2415.0	0.0	True	(6, 8)
