	gmm	gmm_gmm_genes10	gmm_gmm_genes100	gmm_gmm_genes1000	gmm_gmm_genes10000	gmm_gmm_k10	gmm_gmm_k2	gmm_gmm_k4	gmm_gmm_k6	gmm_gmm_k8	kmeans	kmeans_kmeans_genes10	kmeans_kmeans_genes100	kmeans_kmeans_genes1000	kmeans_kmeans_genes10000	kmeans_kmeans_k10	kmeans_kmeans_k2	kmeans_kmeans_k4	kmeans_kmeans_k6	kmeans_kmeans_k8	spectral	spectral_spectral_genes10	spectral_spectral_genes100	spectral_spectral_genes1000	spectral_spectral_genes10000	spectral_spectral_k10	spectral_spectral_k2	spectral_spectral_k4	spectral_spectral_k6	spectral_spectral_k8
gmm	1	1.6703742919272744e-129	4.49908444655872e-101	0.0	0.0	0.0	3.726634504088365e-102	1.549225574074097e-291	0.0	0.0	4.78526875357754e-289	6.255767411970954e-124	3.684110726651182e-111	0.0	4.78526875357754e-289	0.0	3.726634504088365e-102	2.2890525203208233e-239	4.78526875357754e-289	0.0	1.0996857718950578e-203	1.1545379255620765e-120	1.028117308698927e-199	4.7602412587097584e-231	1.0996857718950578e-203	3.1825591450193837e-236	1.5697456122819663e-40	3.9091582524417067e-160	1.0996857718950578e-203	2.5027838439336137e-179
gmm_gmm_genes10	1.6703742919272744e-129	1	7.132689290407651e-101	7.39009573241182e-126	1.6703742919272744e-129	3.92321897803077e-127	3.7266345040885766e-102	7.740730549771922e-99	1.6703742919272744e-129	4.893857432821982e-125	5.02413854845058e-116	0.0	7.537736581977395e-104	1.158025240884091e-126	5.0241385484508656e-116	2.0535389440102265e-129	3.7266345040885766e-102	2.387549348143979e-94	5.02413854845058e-116	4.893857432821982e-125	4.774156963399232e-100	1.4059550483265831e-260	1.9690878158977775e-108	1.251804150751052e-113	4.774156963399504e-100	5.105943396864924e-121	2.7832116735259043e-12	6.637276742772339e-55	4.774156963399232e-100	5.281273124320355e-85
gmm_gmm_genes100	4.49908444655872e-101	7.132689290407651e-101	1	9.308352571640288e-126	4.49908444655872e-101	4.0012316454686675e-150	3.726634504088364e-102	3.624740838415585e-98	4.49908444655872e-101	9.626731689224084e-146	2.8275578672213844e-135	2.0809347784996755e-109	1.1511560037849615e-296	2.3012324589602295e-120	2.8275578672213844e-135	2.858953258031038e-136	3.726634504088364e-102	6.410851444851573e-108	2.8275578672213844e-135	9.626731689224084e-146	2.639220899827154e-91	8.986059369789922e-114	6.4021414032176445e-217	2.629355697609165e-81	2.6392208998270793e-91	1.8569299944624708e-105	8.201238646277983e-06	4.5596265594683425e-30	2.639220899827154e-91	1.2258390601395653e-78
gmm_gmm_genes1000	0.0	7.39009573241182e-126	9.308352571640288e-126	1	0.0	0.0	3.726634504088364e-102	2.3248296081568092e-198	0.0	5.366502132182911e-293	1.9136808571111653e-244	1.017477605244935e-120	1.572414010444314e-123	2.6313023743856086e-278	1.9136808571109474e-244	0.0	3.726634504088364e-102	1.2078335706932644e-212	1.9136808571111653e-244	5.366502132182911e-293	5.824529985591743e-206	1.9176512533017042e-122	6.005388169719072e-131	8.95381479402989e-224	5.824529985591082e-206	1.7276990333409648e-230	1.5697456122819663e-40	2.637337160922554e-152	5.824529985591743e-206	1.6169681004274361e-190
gmm_gmm_genes10000	0.0	1.6703742919272744e-129	4.49908444655872e-101	0.0	1	0.0	3.726634504088364e-102	1.549225574074097e-291	0.0	0.0	4.7852687535769955e-289	6.255767411970954e-124	3.684110726651182e-111	0.0	4.78526875357754e-289	0.0	3.726634504088364e-102	2.2890525203208233e-239	4.7852687535769955e-289	0.0	1.0996857718949324e-203	1.1545379255620765e-120	1.028117308698927e-199	4.7602412587097584e-231	1.0996857718950578e-203	3.1825591450193837e-236	1.5697456122820112e-40	3.9091582524417067e-160	1.0996857718949324e-203	2.5027838439336137e-179
gmm_gmm_k10	0.0	3.92321897803077e-127	4.0012316454686675e-150	0.0	0.0	1	2.5047357262303527e-98	5.352805212150501e-212	0.0	0.0	0.0	1.8337695520069943e-125	8.67449169025679e-141	0.0	0.0	0.0	2.5047357262303527e-98	2.9980856241485865e-265	0.0	0.0	3.762537090499472e-301	1.9857883039047635e-149	5.86844157059591e-159	1.2579078902174603e-299	3.762537090499472e-301	0.0	3.819024517769718e-49	3.727375568751854e-183	3.762537090499472e-301	0.0
gmm_gmm_k2	3.726634504088365e-102	3.7266345040885766e-102	3.726634504088364e-102	3.726634504088364e-102	3.726634504088364e-102	2.5047357262303527e-98	1	2.6524878896610678e-98	3.726634504088364e-102	3.614927863297931e-100	1.165104050466315e-96	3.7266345040885766e-102	3.7266345040885766e-102	3.7266345040885766e-102	1.165104050466315e-96	2.504735726230281e-98	3.5205860161037074e-106	2.6524878896610678e-98	1.165104050466315e-96	3.614927863297931e-100	4.48788477851589e-67	3.7266345040885766e-102	3.726634504088364e-102	1.142663643610596e-80	4.4878847785158906e-67	1.7404482809337822e-78	3.4500163823899684e-06	7.184515923252747e-33	4.4878847785158906e-67	5.236907936923293e-47
gmm_gmm_k4	1.549225574074097e-291	7.740730549771922e-99	3.624740838415585e-98	2.3248296081568092e-198	1.549225574074097e-291	5.352805212150501e-212	2.6524878896610678e-98	1	1.549225574074097e-291	4.991310685783798e-217	2.916228752025203e-206	4.3769640043765533e-94	7.239792423224539e-101	2.1904611120300032e-284	2.916228752025369e-206	1.6771081068328374e-235	2.652487889660992e-98	2.435923340026697e-252	2.916228752025369e-206	4.991310685783798e-217	1.3996814584536242e-104	7.779926217259697e-92	8.642185717033365e-197	9.469444320726225e-132	1.3996814584536242e-104	9.35421353747113e-174	2.8668761813226106e-36	2.6845386986381208e-95	1.3996814584536242e-104	1.0994890487904366e-78
gmm_gmm_k6	0.0	1.6703742919272744e-129	4.49908444655872e-101	0.0	0.0	0.0	3.726634504088364e-102	1.549225574074097e-291	1	0.0	4.7852687535769955e-289	6.255767411970954e-124	3.684110726651182e-111	0.0	4.78526875357754e-289	0.0	3.726634504088365e-102	2.2890525203208233e-239	4.78526875357754e-289	0.0	1.0996857718949324e-203	1.1545379255620765e-120	1.028117308698927e-199	4.7602412587097584e-231	1.0996857718950578e-203	3.1825591450193837e-236	1.5697456122819663e-40	3.9091582524417067e-160	1.0996857718950578e-203	2.5027838439336137e-179
gmm_gmm_k8	0.0	4.893857432821982e-125	9.626731689224084e-146	5.366502132182911e-293	0.0	0.0	3.614927863297931e-100	4.991310685783798e-217	0.0	1	0.0	9.067552651331812e-125	7.311880090973828e-138	0.0	0.0	0.0	3.614927863297828e-100	1.5033245646003207e-270	0.0	0.0	6.151519598221976e-262	1.1022659336266868e-134	1.4501279047984114e-158	5.505482523210469e-270	6.151519598221976e-262	0.0	1.0524254109152209e-50	5.1866622707055175e-188	6.151519598221976e-262	1.6940633483988796e-265
