sample	cluster
SRR6113361	3
SRR6113362	3
SRR6113363	3
SRR6113364	3
SRR6113365	4
SRR6113367	3
SRR6113368	3
SRR6113369	4
SRR6113372	4
SRR6113373	3
SRR6113374	4
SRR6113375	4
SRR6113377	0
SRR6113378	0
SRR6113379	0
SRR6113380	0
SRR6113381	0
SRR6113382	2
SRR6113383	2
SRR6113384	2
SRR6113385	2
SRR6113386	0
SRR6113387	0
SRR6113388	0
SRR6113389	0
SRR6113390	0
SRR6113391	0
SRR6113392	2
SRR6113393	0
SRR6113394	0
SRR6113395	0
SRR6113396	0
SRR6113397	2
SRR6113398	0
SRR6113399	0
SRR6113400	2
SRR6113401	0
SRR6113402	0
SRR6113403	0
SRR6113404	0
SRR6113405	2
SRR6113406	2
SRR6113407	0
SRR6113408	2
SRR6113410	0
SRR6113411	0
SRR6113412	0
SRR6113413	2
SRR6113414	2
SRR6113415	0
SRR6113416	0
SRR6113417	5
SRR6113418	0
SRR6113419	5
SRR6113420	5
SRR6113421	5
SRR6113422	5
SRR6113423	0
SRR6113424	0
SRR6113425	0
SRR6113426	0
SRR6113427	5
SRR6113428	5
SRR6113429	0
SRR6113430	0
SRR6113431	5
SRR6113432	0
SRR6113433	0
SRR6113434	0
SRR6113435	5
SRR6113437	0
SRR6113438	5
SRR6113439	5
SRR6113440	5
SRR6113441	0
SRR6113442	5
SRR6113443	5
SRR6113444	5
SRR6113446	5
SRR6113447	5
SRR6113448	5
SRR6113449	0
SRR6113450	5
SRR6113451	5
SRR6113452	5
SRR6113453	5
SRR6113454	5
SRR6113455	5
SRR6113456	5
SRR6113457	4
SRR6113458	3
SRR6113459	4
SRR6113460	4
SRR6113461	3
SRR6113462	4
SRR6113463	4
SRR6113464	4
SRR6113465	5
SRR6113466	5
SRR6113467	0
SRR6113468	0
SRR6113469	0
SRR6113470	5
SRR6113471	0
SRR6113472	0
SRR6113473	0
SRR6113474	0
SRR6113475	0
SRR6113476	0
SRR6113477	0
SRR6113478	5
SRR6113479	0
SRR6113480	5
SRR6113481	5
SRR6113482	5
SRR6113483	5
SRR6113484	5
