sample	cluster
SRR6113361	5
SRR6113362	5
SRR6113363	5
SRR6113364	5
SRR6113365	5
SRR6113367	5
SRR6113368	5
SRR6113369	5
SRR6113372	5
SRR6113373	5
SRR6113374	5
SRR6113375	0
SRR6113377	2
SRR6113378	2
SRR6113379	2
SRR6113380	2
SRR6113381	2
SRR6113382	2
SRR6113383	2
SRR6113384	2
SRR6113385	2
SRR6113386	2
SRR6113387	2
SRR6113388	2
SRR6113389	2
SRR6113390	2
SRR6113391	2
SRR6113392	2
SRR6113393	3
SRR6113394	3
SRR6113395	3
SRR6113396	3
SRR6113397	3
SRR6113398	3
SRR6113399	3
SRR6113400	3
SRR6113401	2
SRR6113402	2
SRR6113403	2
SRR6113404	2
SRR6113405	2
SRR6113406	2
SRR6113407	2
SRR6113408	2
SRR6113410	3
SRR6113411	3
SRR6113412	3
SRR6113413	3
SRR6113414	2
SRR6113415	3
SRR6113416	3
SRR6113417	2
SRR6113418	2
SRR6113419	2
SRR6113420	2
SRR6113421	2
SRR6113422	2
SRR6113423	2
SRR6113424	2
SRR6113425	2
SRR6113426	2
SRR6113427	2
SRR6113428	2
SRR6113429	2
SRR6113430	2
SRR6113431	2
SRR6113432	2
SRR6113433	3
SRR6113434	3
SRR6113435	3
SRR6113437	3
SRR6113438	3
SRR6113439	3
SRR6113440	3
SRR6113441	2
SRR6113442	2
SRR6113443	2
SRR6113444	2
SRR6113446	2
SRR6113447	2
SRR6113448	2
SRR6113449	2
SRR6113450	2
SRR6113451	2
SRR6113452	2
SRR6113453	2
SRR6113454	2
SRR6113455	2
SRR6113456	2
SRR6113457	5
SRR6113458	5
SRR6113459	5
SRR6113460	5
SRR6113461	5
SRR6113462	5
SRR6113463	5
SRR6113464	5
SRR6113465	2
SRR6113466	2
SRR6113467	2
SRR6113468	2
SRR6113469	2
SRR6113470	2
SRR6113471	2
SRR6113472	2
SRR6113473	2
SRR6113474	2
SRR6113475	2
SRR6113476	2
SRR6113477	2
SRR6113478	2
SRR6113479	2
SRR6113480	2
SRR6113481	2
SRR6113482	2
SRR6113483	2
SRR6113484	2
SRR6113485	2
SRR6113486	2
SRR6113487	2
SRR6113488	2
SRR6113489	5
SRR6113490	0
SRR6113491	0
SRR6113492	5
SRR6113493	0
SRR6113494	0
SRR6113495	5
SRR6113496	0
SRR6113497	5
SRR6113498	5
SRR6113499	5
SRR6113500	5
SRR6113501	0
SRR6113502	5
SRR6113503	5
SRR6113504	5
SRR6113505	0
SRR6113506	0
SRR6113507	0
SRR6113508	0
SRR6113509	0
SRR6113510	5
SRR6113511	0
SRR6113512	0
SRR6113513	5
SRR6113514	5
SRR6113515	5
SRR6113516	5
SRR6113517	5
SRR6113518	5
SRR6113519	5
SRR6113520	5
SRR6113521	5
SRR6113522	5
SRR6113523	5
SRR6113524	5
SRR6113525	5
SRR6113526	5
SRR6113527	5
SRR6113528	5
SRR6113529	5
SRR6113530	0
SRR6113531	5
SRR6113532	5
SRR6113533	5
SRR6113534	5
SRR6113535	5
SRR6113536	0
SRR6113537	5
SRR6113538	5
SRR6113539	5
SRR6113540	5
SRR6113541	5
SRR6113542	5
SRR6113543	5
SRR6113544	5
SRR6113545	3
SRR6113546	2
SRR6113547	2
SRR6113548	3
SRR6113549	2
SRR6113550	3
SRR6113551	3
SRR6113552	3
SRR6113553	3
SRR6113554	3
SRR6113555	3
SRR6113556	3
SRR6113557	3
SRR6113558	3
SRR6113559	3
SRR6113560	3
SRR6113561	2
SRR6113562	2
SRR6113563	2
SRR6113564	2
SRR6113565	2
SRR6113566	2
SRR6113567	2
SRR6113568	2
SRR6113569	2
SRR6113570	2
SRR6113571	2
SRR6113572	2
SRR6113573	2
SRR6113574	2
SRR6113575	2
SRR6113576	2
SRR6113577	3
SRR6113578	3
SRR6113579	3
SRR6113580	3
SRR6113581	3
SRR6113582	3
SRR6113583	3
SRR6113584	3
SRR6113585	2
SRR6113586	2
SRR6113587	2
SRR6113588	2
SRR6113589	2
SRR6113590	2
SRR6113591	2
SRR6113592	2
SRR6113593	2
SRR6113594	2
SRR6113595	2
SRR6113596	2
SRR6113597	2
SRR6113598	2
SRR6113599	2
SRR6113600	2
SRR6113601	5
SRR6113602	5
SRR6113603	5
SRR6113604	5
SRR6113605	5
SRR6113606	5
SRR6113607	5
SRR6113608	5
SRR6113609	2
SRR6113610	2
SRR6113611	2
SRR6113612	2
SRR6113613	2
SRR6113614	2
SRR6113615	2
SRR6113616	2
SRR6113617	3
SRR6113618	3
SRR6113619	3
SRR6113620	3
SRR6113621	3
SRR6113622	3
SRR6113624	3
SRR6113625	3
SRR6113626	2
SRR6113627	2
SRR6113628	2
SRR6113629	2
SRR6113630	2
SRR6113631	2
SRR6113632	2
SRR6113633	2
SRR6113634	2
SRR6113635	2
SRR6113636	2
SRR6113637	2
SRR6113638	2
SRR6113639	2
SRR6113640	2
SRR6113641	2
SRR6113642	1
SRR6113643	1
SRR6113644	1
SRR6113645	1
SRR6113646	1
SRR6113647	1
SRR6113648	1
SRR6113649	1
SRR6113650	3
SRR6113651	3
SRR6113652	3
SRR6113653	3
SRR6113654	3
SRR6113655	3
SRR6113656	3
SRR6113657	3
SRR6113658	3
SRR6113659	3
SRR6113660	3
SRR6113661	3
SRR6113662	3
SRR6113663	3
SRR6113664	3
SRR6113665	3
SRR6113666	3
SRR6113667	3
SRR6113668	3
SRR6113669	3
SRR6113670	3
SRR6113671	3
SRR6113672	3
SRR6113673	3
SRR6113674	2
SRR6113675	2
SRR6113677	2
SRR6113678	2
SRR6113679	2
SRR6113680	2
SRR6113681	2
SRR6113682	4
SRR6113683	4
SRR6113684	4
SRR6113685	4
SRR6113687	4
SRR6113688	4
SRR6113689	4
SRR6113690	4
SRR6113691	4
SRR6113692	4
SRR6113693	4
SRR6113694	4
SRR6113695	4
SRR6113696	4
SRR6113697	4
SRR6113699	4
SRR6113701	4
SRR6113703	4
SRR6113704	4
SRR6113705	4
SRR6113708	0
SRR6113709	5
SRR6113710	5
SRR6113711	0
SRR6113712	0
SRR6113714	5
SRR6113715	0
SRR6113716	5
SRR6113717	5
SRR6113718	5
SRR6113719	0
SRR6113720	0
SRR6113721	0
SRR6113722	0
SRR6113723	5
SRR6113724	0
SRR6113725	0
SRR6113726	5
SRR6113727	0
SRR6113728	0
SRR6113729	0
SRR6113730	4
SRR6113731	4
SRR6113732	4
SRR6113733	4
SRR6113734	4
SRR6113735	4
SRR6113736	4
SRR6113737	4
SRR6113738	5
SRR6113739	5
SRR6113740	5
SRR6113741	5
SRR6113742	5
SRR6113743	5
SRR6113744	5
SRR6113745	5
SRR6113746	0
SRR6113748	0
SRR6113749	5
SRR6113750	0
SRR6113751	0
SRR6113752	0
SRR6113753	0
SRR6113754	5
SRR6113755	5
SRR6113756	5
SRR6113757	5
SRR6113758	5
SRR6113759	5
SRR6113760	0
SRR6113761	5
SRR6113762	0
SRR6113763	0
SRR6113764	0
SRR6113765	5
SRR6113766	5
SRR6113767	5
SRR6113768	5
SRR6113769	0
SRR6113770	4
SRR6113772	4
SRR6113773	4
SRR6113774	4
SRR6113776	4
SRR6113777	4
SRR6113778	4
SRR6113779	4
SRR6113780	4
SRR6113782	4
SRR6113783	4
SRR6113784	4
SRR6113785	4
SRR6113786	4
SRR6113787	4
SRR6113788	4
SRR6113790	4
SRR6113792	4
SRR6113793	4
SRR6113794	5
SRR6113795	5
SRR6113796	0
SRR6113797	5
SRR6113798	5
SRR6113799	5
SRR6113800	5
SRR6113801	5
SRR6113803	4
SRR6113804	4
SRR6113805	4
SRR6113806	4
SRR6113807	4
SRR6113810	5
SRR6113811	5
SRR6113812	5
SRR6113813	5
SRR6113815	5
SRR6113816	5
SRR6113817	5
SRR6113818	5
SRR6113819	5
SRR6113820	5
SRR6113822	5
SRR6113824	5
SRR6113825	5
SRR6113826	0
SRR6113827	0
SRR6113828	0
SRR6113829	0
SRR6113830	0
SRR6113831	0
SRR6113832	0
SRR6113833	0
SRR6113834	5
SRR6113835	5
SRR6113836	5
SRR6113837	5
SRR6113838	0
SRR6113839	0
SRR6113840	5
SRR6113841	5
SRR6113842	5
SRR6113843	5
SRR6113844	0
SRR6113845	5
SRR6113846	0
SRR6113847	0
SRR6113848	5
SRR6113849	5
SRR6113850	2
SRR6113851	2
SRR6113852	2
SRR6113853	2
SRR6113854	2
SRR6113855	2
SRR6113856	2
SRR6113857	2
SRR6113858	2
SRR6113859	2
SRR6113861	2
SRR6113862	2
SRR6113863	2
SRR6113864	2
SRR6113865	2
SRR6113866	3
SRR6113867	3
SRR6113868	3
SRR6113869	3
SRR6113870	3
SRR6113871	3
SRR6113872	3
