sample	cluster
SRR6113361	3
SRR6113362	3
SRR6113363	3
SRR6113364	3
SRR6113365	3
SRR6113367	3
SRR6113368	3
SRR6113369	3
SRR6113372	3
SRR6113373	3
SRR6113374	3
SRR6113375	3
SRR6113377	1
SRR6113378	1
SRR6113379	1
SRR6113380	1
SRR6113381	1
SRR6113382	1
SRR6113383	1
SRR6113384	1
SRR6113385	1
SRR6113386	1
SRR6113387	1
SRR6113388	1
SRR6113389	1
SRR6113390	1
SRR6113391	1
SRR6113392	1
SRR6113393	1
SRR6113394	1
SRR6113395	1
SRR6113396	1
SRR6113397	1
SRR6113398	1
SRR6113399	1
SRR6113400	1
SRR6113401	1
SRR6113402	1
SRR6113403	1
SRR6113404	1
SRR6113405	1
SRR6113406	1
SRR6113407	1
SRR6113408	1
SRR6113410	1
SRR6113411	1
SRR6113412	1
SRR6113413	1
SRR6113414	1
SRR6113415	1
SRR6113416	1
SRR6113417	1
SRR6113418	1
SRR6113419	1
SRR6113420	1
SRR6113421	1
SRR6113422	1
SRR6113423	1
SRR6113424	1
SRR6113425	1
SRR6113426	1
SRR6113427	1
SRR6113428	1
SRR6113429	1
SRR6113430	1
SRR6113431	1
SRR6113432	1
SRR6113433	0
SRR6113434	0
SRR6113435	0
SRR6113437	0
SRR6113438	0
SRR6113439	0
SRR6113440	0
SRR6113441	1
SRR6113442	1
SRR6113443	1
SRR6113444	1
SRR6113446	1
SRR6113447	1
SRR6113448	1
SRR6113449	1
SRR6113450	1
SRR6113451	1
SRR6113452	1
SRR6113453	1
SRR6113454	1
SRR6113455	1
SRR6113456	1
SRR6113457	3
SRR6113458	3
SRR6113459	3
SRR6113460	3
SRR6113461	3
SRR6113462	3
SRR6113463	3
SRR6113464	3
SRR6113465	1
SRR6113466	1
SRR6113467	1
SRR6113468	1
SRR6113469	1
SRR6113470	1
SRR6113471	1
SRR6113472	1
SRR6113473	1
SRR6113474	1
SRR6113475	1
SRR6113476	1
SRR6113477	1
SRR6113478	1
SRR6113479	1
SRR6113480	1
SRR6113481	1
SRR6113482	1
SRR6113483	1
SRR6113484	1
