sample	cluster
SRR6113361	4
SRR6113362	4
SRR6113363	4
SRR6113364	4
SRR6113365	4
SRR6113367	4
SRR6113368	4
SRR6113369	8
SRR6113372	8
SRR6113373	8
SRR6113374	8
SRR6113375	8
SRR6113377	2
SRR6113378	2
SRR6113379	2
SRR6113380	2
SRR6113381	2
SRR6113382	2
SRR6113383	2
SRR6113384	2
SRR6113385	2
SRR6113386	2
SRR6113387	2
SRR6113388	2
SRR6113389	2
SRR6113390	2
SRR6113391	2
SRR6113392	2
SRR6113393	2
SRR6113394	2
SRR6113395	2
SRR6113396	2
SRR6113397	2
SRR6113398	2
SRR6113399	2
SRR6113400	2
SRR6113401	2
SRR6113402	2
SRR6113403	2
SRR6113404	2
SRR6113405	2
SRR6113406	2
SRR6113407	2
SRR6113408	2
SRR6113410	2
SRR6113411	2
SRR6113412	2
SRR6113413	2
SRR6113414	2
SRR6113415	2
SRR6113416	2
SRR6113417	2
SRR6113418	2
SRR6113419	2
SRR6113420	2
SRR6113421	2
SRR6113422	2
SRR6113423	2
SRR6113424	2
SRR6113425	2
SRR6113426	2
SRR6113427	2
SRR6113428	2
SRR6113429	2
SRR6113430	2
SRR6113431	2
SRR6113432	2
SRR6113433	7
SRR6113434	7
SRR6113435	7
SRR6113437	7
SRR6113438	7
SRR6113439	7
SRR6113440	7
SRR6113441	2
SRR6113442	2
SRR6113443	2
SRR6113444	2
SRR6113446	2
SRR6113447	2
SRR6113448	2
SRR6113449	2
SRR6113450	2
SRR6113451	2
SRR6113452	2
SRR6113453	2
SRR6113454	2
SRR6113455	2
SRR6113456	2
SRR6113457	8
SRR6113458	8
SRR6113459	8
SRR6113460	8
SRR6113461	8
SRR6113462	8
SRR6113463	8
SRR6113464	8
SRR6113465	2
SRR6113466	2
SRR6113467	2
SRR6113468	2
SRR6113469	2
SRR6113470	2
SRR6113471	2
SRR6113472	2
SRR6113473	2
SRR6113474	2
SRR6113475	2
SRR6113476	2
SRR6113477	2
SRR6113478	2
SRR6113479	2
SRR6113480	2
SRR6113481	2
SRR6113482	2
SRR6113483	2
SRR6113484	2
SRR6113485	2
SRR6113486	2
SRR6113487	2
SRR6113488	2
SRR6113489	8
SRR6113490	8
SRR6113491	8
SRR6113492	8
SRR6113493	8
SRR6113494	8
SRR6113495	8
SRR6113496	8
SRR6113497	8
SRR6113498	8
SRR6113499	8
SRR6113500	8
SRR6113501	8
SRR6113502	8
SRR6113503	8
SRR6113504	8
SRR6113505	8
SRR6113506	8
SRR6113507	8
SRR6113508	8
SRR6113509	8
SRR6113510	8
SRR6113511	8
SRR6113512	8
SRR6113513	8
SRR6113514	8
SRR6113515	8
SRR6113516	8
SRR6113517	8
SRR6113518	8
SRR6113519	8
SRR6113520	8
SRR6113521	4
SRR6113522	4
SRR6113523	4
SRR6113524	4
SRR6113525	4
SRR6113526	4
SRR6113527	4
SRR6113528	4
SRR6113529	4
SRR6113530	4
SRR6113531	4
SRR6113532	4
SRR6113533	4
SRR6113534	4
SRR6113535	4
SRR6113536	4
SRR6113537	4
SRR6113538	4
SRR6113539	4
SRR6113540	4
SRR6113541	4
SRR6113542	4
SRR6113543	4
SRR6113544	4
SRR6113545	0
SRR6113546	0
SRR6113547	0
SRR6113548	0
SRR6113549	0
SRR6113550	0
SRR6113551	0
SRR6113552	0
SRR6113553	5
SRR6113554	5
SRR6113555	5
SRR6113556	5
SRR6113557	5
SRR6113558	5
SRR6113559	5
SRR6113560	5
SRR6113561	5
SRR6113562	5
SRR6113563	5
SRR6113564	5
SRR6113565	5
SRR6113566	5
SRR6113567	5
SRR6113568	5
SRR6113569	7
SRR6113570	7
SRR6113571	7
SRR6113572	7
SRR6113573	7
SRR6113574	7
SRR6113575	7
SRR6113576	7
SRR6113577	7
SRR6113578	7
SRR6113579	7
SRR6113580	7
SRR6113581	5
SRR6113582	5
SRR6113583	5
SRR6113584	5
SRR6113585	5
SRR6113586	5
SRR6113587	5
SRR6113588	5
SRR6113589	5
SRR6113590	5
SRR6113591	5
SRR6113592	5
SRR6113593	5
SRR6113594	5
SRR6113595	5
SRR6113596	5
SRR6113597	5
SRR6113598	5
SRR6113599	5
SRR6113600	5
SRR6113601	6
SRR6113602	6
SRR6113603	6
SRR6113604	6
SRR6113605	6
SRR6113606	6
SRR6113607	6
SRR6113608	6
SRR6113609	5
SRR6113610	5
SRR6113611	5
SRR6113612	5
SRR6113613	5
SRR6113614	5
SRR6113615	5
SRR6113616	5
SRR6113617	7
SRR6113618	7
SRR6113619	7
SRR6113620	7
SRR6113621	7
SRR6113622	7
SRR6113624	7
SRR6113625	7
SRR6113626	2
SRR6113627	2
