sample	cluster
SRR6113361	5
SRR6113362	5
SRR6113363	5
SRR6113364	5
SRR6113365	5
SRR6113367	5
SRR6113368	5
SRR6113369	9
SRR6113372	9
SRR6113373	9
SRR6113374	9
SRR6113375	9
SRR6113377	1
SRR6113378	1
SRR6113379	1
SRR6113380	1
SRR6113381	1
SRR6113382	1
SRR6113383	1
SRR6113384	1
SRR6113385	1
SRR6113386	1
SRR6113387	1
SRR6113388	1
SRR6113389	1
SRR6113390	1
SRR6113391	1
SRR6113392	1
SRR6113393	1
SRR6113394	1
SRR6113395	1
SRR6113396	1
SRR6113397	1
SRR6113398	1
SRR6113399	1
SRR6113400	1
SRR6113401	1
SRR6113402	1
SRR6113403	1
SRR6113404	1
SRR6113405	1
SRR6113406	1
SRR6113407	1
SRR6113408	1
SRR6113410	1
SRR6113411	1
SRR6113412	1
SRR6113413	1
SRR6113414	1
SRR6113415	1
SRR6113416	1
SRR6113417	1
SRR6113418	1
SRR6113419	1
SRR6113420	1
SRR6113421	1
SRR6113422	1
SRR6113423	1
SRR6113424	1
SRR6113425	1
SRR6113426	1
SRR6113427	1
SRR6113428	1
SRR6113429	1
SRR6113430	1
SRR6113431	1
SRR6113432	1
SRR6113433	6
SRR6113434	6
SRR6113435	6
SRR6113437	6
SRR6113438	6
SRR6113439	6
SRR6113440	6
SRR6113441	1
SRR6113442	1
SRR6113443	1
SRR6113444	1
SRR6113446	1
SRR6113447	1
SRR6113448	1
SRR6113449	1
SRR6113450	1
SRR6113451	1
SRR6113452	1
SRR6113453	1
SRR6113454	1
SRR6113455	1
SRR6113456	1
SRR6113457	9
SRR6113458	9
SRR6113459	9
SRR6113460	9
SRR6113461	9
SRR6113462	9
SRR6113463	9
SRR6113464	9
SRR6113465	1
SRR6113466	1
SRR6113467	1
SRR6113468	1
SRR6113469	1
SRR6113470	1
SRR6113471	1
SRR6113472	1
SRR6113473	1
SRR6113474	1
SRR6113475	1
SRR6113476	1
SRR6113477	1
SRR6113478	1
SRR6113479	1
SRR6113480	1
SRR6113481	1
SRR6113482	1
SRR6113483	1
SRR6113484	1
SRR6113485	1
SRR6113486	1
SRR6113487	1
SRR6113488	1
SRR6113489	9
SRR6113490	9
SRR6113491	9
SRR6113492	9
SRR6113493	9
SRR6113494	9
SRR6113495	9
SRR6113496	9
SRR6113497	9
SRR6113498	9
SRR6113499	9
SRR6113500	9
SRR6113501	9
SRR6113502	9
SRR6113503	9
SRR6113504	9
SRR6113505	9
SRR6113506	9
SRR6113507	9
SRR6113508	9
SRR6113509	9
SRR6113510	9
SRR6113511	9
SRR6113512	9
SRR6113513	5
SRR6113514	5
SRR6113515	5
SRR6113516	5
SRR6113517	5
SRR6113518	5
SRR6113519	5
SRR6113520	5
SRR6113521	5
SRR6113522	5
SRR6113523	5
SRR6113524	5
SRR6113525	5
SRR6113526	5
SRR6113527	5
SRR6113528	5
SRR6113529	5
SRR6113530	5
SRR6113531	5
SRR6113532	5
SRR6113533	5
SRR6113534	5
SRR6113535	5
SRR6113536	5
SRR6113537	5
SRR6113538	5
SRR6113539	5
SRR6113540	5
SRR6113541	5
SRR6113542	5
SRR6113543	5
SRR6113544	5
SRR6113545	2
SRR6113546	2
SRR6113547	2
SRR6113548	2
SRR6113549	2
SRR6113550	2
SRR6113551	2
SRR6113552	2
SRR6113553	3
SRR6113554	3
SRR6113555	3
SRR6113556	3
SRR6113557	3
SRR6113558	3
SRR6113559	3
SRR6113560	3
SRR6113561	3
SRR6113562	3
SRR6113563	3
SRR6113564	3
SRR6113565	3
SRR6113566	3
SRR6113567	3
SRR6113568	3
SRR6113569	8
SRR6113570	8
SRR6113571	8
SRR6113572	8
SRR6113573	8
SRR6113574	8
SRR6113575	8
SRR6113576	8
SRR6113577	8
SRR6113578	8
SRR6113579	8
SRR6113580	8
SRR6113581	8
SRR6113582	8
SRR6113583	8
SRR6113584	8
SRR6113585	8
SRR6113586	8
SRR6113587	8
SRR6113588	8
SRR6113589	8
SRR6113590	8
SRR6113591	8
SRR6113592	8
SRR6113593	8
SRR6113594	8
SRR6113595	8
SRR6113596	8
SRR6113597	8
SRR6113598	8
SRR6113599	8
SRR6113600	8
SRR6113601	4
SRR6113602	4
SRR6113603	4
SRR6113604	4
SRR6113605	4
SRR6113606	4
SRR6113607	4
SRR6113608	4
SRR6113609	3
SRR6113610	3
SRR6113611	3
SRR6113612	3
SRR6113613	3
SRR6113614	3
SRR6113615	3
SRR6113616	3
SRR6113617	6
SRR6113618	6
SRR6113619	6
SRR6113620	6
SRR6113621	6
SRR6113622	6
SRR6113624	6
SRR6113625	6
SRR6113626	6
SRR6113627	6
SRR6113628	6
SRR6113629	6
SRR6113630	6
SRR6113631	6
SRR6113632	6
SRR6113633	6
SRR6113634	2
SRR6113635	2
SRR6113636	2
SRR6113637	2
SRR6113638	2
SRR6113639	2
SRR6113640	2
SRR6113641	2
SRR6113642	6
SRR6113643	6
SRR6113644	6
SRR6113645	6
SRR6113646	6
SRR6113647	6
SRR6113648	6
SRR6113649	6
SRR6113650	2
SRR6113651	2
SRR6113652	2
SRR6113653	2
SRR6113654	2
SRR6113655	2
SRR6113656	2
SRR6113657	2
SRR6113658	6
SRR6113659	6
SRR6113660	6
SRR6113661	6
SRR6113662	6
SRR6113663	6
SRR6113664	6
SRR6113665	6
SRR6113666	6
SRR6113667	6
SRR6113668	6
SRR6113669	6
SRR6113670	6
SRR6113671	6
SRR6113672	6
SRR6113673	6
SRR6113674	2
SRR6113675	2
SRR6113677	2
SRR6113678	2
SRR6113679	2
SRR6113680	2
SRR6113681	2
SRR6113682	5
SRR6113683	5
SRR6113684	5
SRR6113685	5
SRR6113687	5
SRR6113688	5
SRR6113689	5
SRR6113690	5
SRR6113691	5
SRR6113692	5
SRR6113693	5
SRR6113694	5
SRR6113695	5
SRR6113696	5
SRR6113697	5
SRR6113699	0
SRR6113701	0
SRR6113703	0
SRR6113704	0
SRR6113705	0
SRR6113708	0
SRR6113709	0
SRR6113710	0
SRR6113711	0
SRR6113712	0
SRR6113714	0
SRR6113715	0
SRR6113716	0
SRR6113717	0
SRR6113718	0
SRR6113719	0
SRR6113720	0
SRR6113721	0
SRR6113722	0
SRR6113723	0
SRR6113724	0
SRR6113725	0
SRR6113726	0
SRR6113727	0
SRR6113728	0
SRR6113729	0
SRR6113730	0
SRR6113731	0
SRR6113732	0
SRR6113733	0
SRR6113734	0
SRR6113735	0
SRR6113736	0
SRR6113737	0
SRR6113738	5
SRR6113739	5
SRR6113740	5
SRR6113741	5
SRR6113742	5
SRR6113743	5
SRR6113744	5
SRR6113745	5
SRR6113746	0
SRR6113748	0
SRR6113749	0
SRR6113750	0
SRR6113751	0
SRR6113752	0
SRR6113753	0
SRR6113754	0
SRR6113755	0
SRR6113756	0
SRR6113757	0
SRR6113758	0
SRR6113759	0
SRR6113760	0
SRR6113761	0
SRR6113762	0
SRR6113763	0
SRR6113764	0
SRR6113765	0
SRR6113766	0
SRR6113767	0
SRR6113768	0
SRR6113769	0
SRR6113770	0
SRR6113772	0
SRR6113773	0
SRR6113774	0
SRR6113776	0
SRR6113777	0
SRR6113778	0
SRR6113779	0
SRR6113780	0
SRR6113782	0
SRR6113783	0
SRR6113784	0
SRR6113785	0
SRR6113786	0
SRR6113787	0
SRR6113788	0
SRR6113790	0
SRR6113792	0
SRR6113793	0
SRR6113794	7
SRR6113795	7
SRR6113796	7
SRR6113797	7
SRR6113798	7
SRR6113799	7
SRR6113800	7
SRR6113801	7
SRR6113803	0
SRR6113804	0
SRR6113805	0
SRR6113806	0
SRR6113807	0
SRR6113810	0
SRR6113811	0
SRR6113812	0
SRR6113813	0
SRR6113815	0
SRR6113816	0
SRR6113817	0
SRR6113818	0
SRR6113819	0
SRR6113820	0
SRR6113822	0
SRR6113824	0
SRR6113825	0
SRR6113826	7
SRR6113827	7
SRR6113828	7
SRR6113829	7
SRR6113830	7
SRR6113831	7
SRR6113832	7
SRR6113833	7
SRR6113834	0
SRR6113835	0
SRR6113836	0
SRR6113837	0
SRR6113838	0
SRR6113839	0
SRR6113840	0
SRR6113841	0
SRR6113842	0
SRR6113843	0
SRR6113844	0
SRR6113845	0
SRR6113846	0
SRR6113847	0
SRR6113848	0
SRR6113849	0
SRR6113850	1
SRR6113851	1
SRR6113852	1
SRR6113853	1
SRR6113854	1
SRR6113855	1
SRR6113856	1
SRR6113857	1
SRR6113858	1
SRR6113859	1
SRR6113861	1
SRR6113862	1
SRR6113863	1
SRR6113864	1
SRR6113865	1
SRR6113866	6
SRR6113867	6
SRR6113868	6
SRR6113869	6
SRR6113870	6
SRR6113871	6
SRR6113872	6
