Gene	coefficient
Treml1	0.27906049993904497
Trem2	0.27472661400496967
Casd1	0.08538054120438865
Tnk2	0.08316284114660906
Mid1	0.08142215100976878
Fyn	0.07870655076120163
Hdac5	0.07676687986407353
Elk4	0.07601026531162913
Ilf3	0.07512957362270026
Snrpn	0.07324756720858287
1700025G04Rik	0.06951857509484827
Apba2	0.06918057602729084
Ddx23	0.0690247837577941
Setd3	0.06887611268796877
Tfdp2	0.06860464032845445
Fndc4	0.06599077240893796
Syp	0.06541475435776832
Skic2	0.06473918498022337
Or4p7	0.06450487110663168
Asah1	0.0644783316641796
Dcp2	0.06443611331760975
Atm	0.06374953427619068
Ddx1	0.06344829077867153
Bc1	0.06328515543240096
Rasa3	0.06304658468956009
Mars1	0.06289682969241925
Necap1	0.06277106553126344
Strip2	0.06273409197559693
Mkln1	0.06272226235170034
Slc39a6	0.06239107006684512
Derpc	0.06213904463708043
Hdac11	0.06208275167230616
Clip2	0.061674081276257696
Fosl2	0.0616357955113376
Ubn1	0.061359546937366505
Klhl23	0.06096464167289145
Oxt	0.06067723180430405
Gm29253	0.060168065388168906
Greb1l	0.059878558411739086
Myt1l	0.059806115884542016
Dpf1	0.0597623696042819
Per1	0.05975388271263852
Anln	0.05950501159594283
Lrp1	0.05936033107486068
Cd200	0.05922400551193687
Man1b1	0.05920672928456456
Sparc	0.059075960134169436
Pfdn2	0.05839519769378405
Hmgn2	0.058114450109695404
Sc5d	0.05797944018409758
Dbp	0.05736376664540754
Cand1	0.057226503381156445
Yy2	0.05713050637905318
Cbx5	0.056972963342695936
Slc4a4	0.056701864930479726
Map1lc3b	0.05635594695721861
Gm28042	0.05628917806578889
Tbl1xr1	0.05613776764905442
Gm49388	0.05585322738004428
Bcl2l2	0.05578583131873975
Pou2f1	0.05577293859862066
Gatad1	0.05576546759480668
mt-Nd6	0.05575092363515219
Megf8	0.05549736639613261
Dennd4b	0.05545543737406819
Bcl11a	0.055452187690139126
Paics	0.055122811120978506
Mcf2l	0.055073942611856316
Atp1a2	0.05500147239492518
Cdc42	0.05497244122499889
Cyth1	0.05465959723521465
Dnajb2	0.05463339986823051
Arl8b	0.05420718472998549
Dgkz	0.054156075325688335
Tmem151a	0.05407109934071261
Nudcd3	0.05398116555620355
Hnrnpul2	0.053896917166067336
Zranb1	0.05385158693644314
Cacna2d2	0.05378132479860915
AA474408	0.05374445567814944
Srpk1	0.05372027751131175
Apbb3	0.053709746413689356
Nrn1	0.0534441026701097
Brox	0.053385576363086294
Ptpn3	0.05326907275902459
Slc25a25	0.053157226701822824
Smim7	0.052939308509751724
B4galt6	0.05287522479922436
Wfdc2	0.052768137740051735
Rnf44	0.0526182758674743
Sprn	0.05261709013582933
Mapk14	0.052415027049822954
Cntn2	0.05227419130647675
Eeig1	0.05217117214274399
Ndrg2	0.05217073317233364
Evi5l	0.05169645136055334
Mtch2	0.05152232148888965
Sacm1l	0.05140451179878263
Dnaaf9	0.05101733098503863
Erlin2	0.0510166833341346
Epc2	0.050799815113823484
Fam171a2	0.0506911258219809
Ptpn23	0.05065199019550155
Zfyve26	0.050650061114030226
Kdm5a	0.050620539274671965
Itm2a	0.050603339637245975
Usp22	0.05043835279841854
Lrrc4b	0.050435230379133236
Vcp	0.05038445394461064
Pdha1	0.05036776712154773
Gm42715	0.05027289640449957
Timp3	0.049943378530270525
Ywhah	0.049870590029942
Pdxdc1	0.04985699411725361
Cox4i1	0.04961590241794978
Fhip1b	0.04943772022905375
Rtn4rl1	0.04937637941451902
Kcnj10	0.049170188241149486
Synj2	0.04908519958316916
Bag6	0.04895012103520273
Brd4	0.04894723279134576
Erc2	0.048893041011000025
Mllt11	0.048719443184959195
Pnma8a	0.0485626559883757
Panx2	0.04848927122016702
Nr4a3	0.04844666416324343
Dlc1	0.048435935349841586
Nr4a1	0.048359085861213305
Mtrex	0.048341403802365464
Napg	0.048111955933232406
Mbd6	0.04810436716691465
Arhgap23	0.04807031513408739
Zbtb47	0.04771952531467915
Mfsd4a	0.047660729120796184
Coro1a	0.047657871107915674
Cdc42se2	0.04760597529922288
Glcci1	0.047530126343315354
Snrk	0.04741911141893064
Pink1	0.04726759779153961
Atxn10	0.04711040785641313
Slc25a12	0.04707653068621692
Dync1h1	0.047014098047551085
Ptcd3	0.04696146464319575
Ywhaq	0.04695118844290738
Git1	0.04693829891468549
Zfp704	0.046926710198300456
Ahnak	0.04680537896636151
Epn1	0.04667523806171714
Rnf145	0.04654658941567019
Atp6v1g2	0.046535659958508765
Cplx2	0.04647660464294155
Lars2	0.04640828060192486
Fam163b	0.04637704638121165
Mpped1	0.046294877743606216
Ccser2	0.046293526290868955
Steap1	0.04624797732523856
Sesn1	0.04618608606718009
Jade2	0.04616446057066953
Fat1	0.046101361869267846
Cpox	0.04607482631725273
Phf3	0.046072186728539175
Rufy3	0.046052420259364305
Creld1	0.04600452474915029
Wasf3	0.04593486047075969
Bltp2	0.04592525055802096
Gm28036	0.04588804738337558
Celf1	0.04585500956987257
Cd47	0.045797540661198094
Zftraf1	0.045683141499835545
Emc1	0.04554304571042558
Pgbd5	0.04549186639591515
Prdm2	0.045468252865842024
Thra	0.04542612497942401
Tmem170b	0.04536021676225484
Trim32	0.04527539853286041
Cops8	0.04525165304431048
Gna11	0.04520544717753757
Aff3	0.045193625924374634
Ccn2	0.04517937963769617
Ttf1	0.045012109281489306
Ermn	0.0449901394953516
Fh1	0.04497433020665562
Slc39a7	0.04494762963789266
Mybbp1a	0.0447748595093131
Mir6240	0.04472638691428661
Sap30bp	0.04470250733023009
Ltbp3	0.04465290225746236
Mpc2	0.04461786650751583
Tmem198	0.044515421885769776
Xpo1	0.04449998124727356
Tsr2	0.04445919010142122
Paf1	0.04442601802424003
Pcnt	0.04442172856755595
Abcf3	0.04440273834900691
Arhgap27	0.04439876335361763
Tspan9	0.044184242536275654
Clk3	0.04412059884814036
Zbtb38	0.044036867145106795
Macrod2	0.04401666974786431
Smarcc2	0.04397627210919121
Cct8	0.043967484384351656
Jak1	0.04396161774060164
Dnajc18	0.043954894075090775
Scg3	0.04391350396195034
Dcaf8	0.0439119399750319
Rap2b	0.04384048874271025
Plekhb1	0.04372303943634563
mt-Nd2	0.04363261101809678
Tmem44	0.04356687069023461
Aip	0.043508951550906505
Sars1	0.04350848605045465
Nr4a2	0.04349332617456418
Eri3	0.04349285624713307
Khdrbs1	0.04348152560199924
Jakmip1	0.043449815551557
Pitpnm1	0.04342922461024306
Gm42860	0.043376660435236074
Dscam	0.04319622966585173
Ndrg1	0.043124715146360036
Ltbp4	0.04309723731560958
Mobp	0.043095043488820046
Prdx6	0.043017621466994636
Ahcyl1	0.042973693207416584
Per3	0.042955560392910826
Rnf24	0.04287948787657709
Gnas	0.04279336728126277
Washc2	0.04274036354611376
Ccdc47	0.04249310975721976
Copg1	0.04247855801250616
Cacnb1	0.04246040786975195
Wdr3	0.04244319513934043
Sik1	0.0424055321098652
Smarca5	0.042387766807477884
Tomm20	0.04231952947515571
Fosb	0.04231673694460388
Itgad	0.04229383585299595
Phf10	0.04224075381948569
Sptbn2	0.04222779468367813
Mta3	0.04216336893490063
Psmd13	0.04211931790723573
Usf2	0.041988781161111745
Gm26920	0.041931488544981015
Eif3b	0.041842619475271764
Herc3	0.0418215271870802
Pgam1	0.04177330643630928
Dip2a	0.04173762293395082
Slitrk4	0.04171414629058473
Rnft2	0.04168457192866726
Gm45062	0.04164121638552881
Ppp2ca	0.041549179349985574
Nbr1	0.04153050185253756
Gpr37	0.04143812025426635
Tpr	0.04139121976004257
Hdac2	0.041371235385314765
Mt1	0.04135473846791007
Sfxn5	0.04127106688497368
Ssbp4	0.0411298091898822
Klhl22	0.04105932759542988
Rbx1	0.04105509858400028
Ikbkb	0.040857807060359116
Chd5	0.040851287918001675
Mdm2	0.040724434168164084
Larp1b	0.040682016445513544
Coro6	0.04056825850428936
Ctsa	0.04055056344286742
Slc4a8	0.04054698116275045
Yy1	0.04052699919961254
1500004A13Rik	0.04044042678430345
Acat2	0.04008658100021456
Hspa5	0.04003807247555194
Trf	0.04002307301580693
Ythdc1	0.03991230144425157
Ptpro	0.03987429305296639
Gm48161	0.03982856396252466
Ep300	0.03972623392033158
Tmcc3	0.039723519654612356
