Gene	coefficient
Treml1	0.1389820694558845
Trem2	0.12573936898723986
Slc7a11	0.11822886113017758
Diras2	0.11695208262503555
Cplx2	0.10205758444014582
Adam23	0.09323254092492216
mt-Nd4	0.08694593835895756
Fat1	0.08675138714762869
Ctnnb1	0.08568319332942069
Mapt	0.08221533899692551
Ddx24	0.08197078019683347
Mapk1	0.0817203039167661
Necap1	0.08091719314260795
Atp1a2	0.08042668761953317
Hdnr	0.08033242607890163
Brinp1	0.08032699322775157
Vps51	0.07949916271621456
Gm37158	0.07767730538475728
Wfs1	0.07766431338428699
Zfp706	0.0774145291782939
Lypd1	0.07736231751503529
Ank3	0.07643706181092869
mt-Nd4l	0.07615607988448198
Gm47164	0.07558321888547864
Zdbf2	0.0753373374743079
Lynx1	0.07478915439207151
Hnrnpul2	0.0746950310124481
Amd1	0.07437339275056913
Mdga2	0.07430289795725657
Gja1	0.0741004593191959
Copg1	0.0739556569325872
Cnot6l	0.07320936630222044
Kalrn	0.07278224406561247
Cacna1g	0.07265535771787911
Pcdh9	0.07240004926860413
Ddx1	0.07209985344499911
Synpr	0.07196926121432685
Cadps2	0.07091576956813102
Pitpnm2	0.07048272819295981
Aqp4	0.07017102033490713
Trp53i11	0.06999433360055327
Tbc1d24	0.0699939285856145
Tmem170b	0.06974985369751638
Tmem245	0.06918461737249375
Nudcd3	0.0690326503106016
Or4k5	0.06896809796578451
Ctnnd1	0.06880246000386393
Anp32e	0.06866823322398054
Nefl	0.06856424797795235
Thra	0.06841737846802415
Sdf4	0.0682458552163026
Cmtr1	0.06817230169067073
Rnps1	0.06805756661549113
Cdc123	0.0680134306797776
Olfm1	0.06790473783129598
Frmpd4	0.06784841316505545
Ppp6r2	0.06742051163018936
Arf3	0.06721935090923012
Wdr75	0.06681885188994205
Id4	0.06671685222562668
Pik3r2	0.06668056473185469
mt-Nd6	0.06660619944704503
mt-Cytb	0.06652417405181729
Ltbp4	0.06640732118685731
Nalf1	0.0663761446039652
Rrbp1	0.0662686284187158
Igfbp5	0.06622926774387763
Pcbp2	0.0661514668168608
Nbr1	0.0660745839987763
Idh3a	0.06592342414879074
Rgl1	0.06585558601174837
Zkscan3	0.06582608841954574
Snrnp200	0.06580393720022021
Greb1l	0.06575148321009396
Rgs5	0.0656515356959785
Gm47457	0.06564669599866842
Per2	0.0656150708257521
Ankrd13c	0.06557980889320944
Rap2b	0.06526216957274315
Nrn1	0.06509521362912976
Klhl23	0.06497883162766138
Per1	0.06474404292290184
Prkar1a	0.06453255495789122
Hnrnpll	0.06449259322269435
Prpf4b	0.0643029811475004
Elavl3	0.064252068236364
Slco1a4	0.06416746466358202
Pea15a	0.06413363784129449
Ndufab1	0.06412771624126226
Crebzf	0.0641091434145572
L1cam	0.06395521054014777
Arl8b	0.06378400868885549
mt-Nd1	0.06376478917112399
Canx	0.06371589702332926
Idi1	0.06370131929774933
Psd2	0.06357740990733542
1810008I18Rik	0.06315820864415103
Ep400	0.06299689272674378
Taok2	0.06297362223648746
Mfsd4a	0.06288104730577697
Hnrnpf	0.06280739743778051
Selenop	0.06266407748853337
Hadha	0.06266368257291768
Ghitm	0.06258894939360751
Tmed7	0.06255583596879552
Mcf2l	0.062491878125056445
Gmfb	0.06245412965336917
Plxnc1	0.0623574340600232
Zc3h4	0.062324624901302646
Spen	0.062313672410876986
Gtf2i	0.062105878272066734
Tgoln1	0.06201343031249785
Abcf1	0.06188104829206542
Ufm1	0.061822430675758905
Kcnq1ot1	0.06173961526360223
Ptprn	0.06163546403189386
Chn1	0.06139735845205287
