Gene	importance
Malat1	0.015232249541575111
Ogfrl1	0.011107746510913308
Lrrn2	0.009692358953946826
Plppr4	0.009202106079126315
Jcad	0.009170396030909488
Ppp3ca	0.008556836539851871
Tcf4	0.007884729960449508
Slc39a10	0.0067368654598131085
Gabra2	0.006549265810934288
Rgs14	0.006517956326938817
Top1	0.006202725947385284
Crym	0.006190966374762579
Nap1l5	0.005896450429708604
Map3k9	0.005415657371247622
Camk2g	0.00537273781870662
Kif5b	0.00536942813813519
Atp2b2	0.004891628839519697
Cx3cl1	0.0048811561577112635
Meg3	0.004840466003653059
Bod1l	0.004814260589157704
Arpc2	0.004792344255778468
Chgb	0.004737594455180749
Wasf1	0.004493212665111639
Ncl	0.00447472769193839
Utrn	0.004471975010029594
Slitrk1	0.004430400755986597
Arrb1	0.0043504980809377656
Dio2	0.0042318168833134235
Cpe	0.0041225944176585694
Sgsm1	0.004102712475175695
Ablim1	0.004093318743809633
Nrxn1	0.0040523540278691655
Sptbn4	0.004034163339764903
Ttyh3	0.003876388870980409
Grm4	0.0038409739331956754
Nwd1	0.0037109711373548584
Gm47457	0.003700679502550288
Psd3	0.003666685757954637
Shank1	0.0036328054523590693
Pltp	0.0035282764655932253
Hsp90aa1	0.0035281170297498474
Podxl	0.0034647889920514374
Gpr26	0.0034174745803767976
Tra2a	0.0033463337091503144
Hipk3	0.003340134943138371
Kitl	0.003282336572711988
Lpl	0.003234760851365749
Msl1	0.0032087584662278735
Nfic	0.003167187113524442
Pdp1	0.003160786372745697
Gatm	0.003120557258655639
Vps13a	0.0031185317492658437
Glrb	0.0031010714518438843
Fgf13	0.0030947757283351475
Elavl3	0.0030457335776905804
mt-Nd4	0.0029597474189410142
Ptgfrn	0.0029588626207654707
Nptn	0.002958417506023414
A230103L15Rik	0.002950858655284242
Itpr1	0.0029330226598481036
Upf2	0.0029066909276996553
Hs3st4	0.002891943602150411
Ro60	0.0028489601636639116
Gfap	0.0028471884759982986
Ppm1l	0.002806773239655042
Extl3	0.002751325495029831
Etnk1	0.002750721878893655
Tmsb4x	0.0027401772480498705
Hnrnpa2b1	0.002736631430705924
Sgtb	0.0026834554284276137
Il33	0.0026824364913207656
Nr2c2	0.002666379707578501
Tubb2a	0.0026602812083751496
Sesn3	0.0026505290874154664
Apoe	0.002638611412805658
Rbm39	0.002622851263845806
Plcxd2	0.002613850276993984
Cacybp	0.002604522842465102
Ermn	0.0025960610128027296
Ahnak	0.0025405868880487474
Igsf9b	0.0025275151691802533
Cyfip2	0.0025126181884191257
Gpr22	0.002500316930907732
Lrrtm1	0.0024875353812125684
Agfg2	0.0024703596824750536
Kcnq1ot1	0.0024117842450531043
Sec62	0.002394447245169096
Adcy9	0.002359579365615819
Mapk11	0.0023432202748647998
Camkv	0.0023282857421839747
Tacc1	0.002327001203217745
Frmd6	0.0023254467062328215
Adcy1	0.002315870854173308
D430041D05Rik	0.0023112964322666617
Hcn1	0.0022783014117468696
Khdrbs1	0.0022770483726618834
Lmbrd1	0.00226022745014187
Zfp365	0.0022468824155344796
Grik3	0.0022444425576805135
Nptx2	0.002201315416612867
Atp2b3	0.002198793702135399
Rab6b	0.0021935842074275133
Usp46	0.0021933186843679543
Pcdhgc4	0.002177635577659216
Cmtm4	0.002170522375023382
Mgat5	0.002134351056124028
Cdkl5	0.0021252478530762588
Zmat3	0.0021212779908630487
Spock1	0.002086322207989586
Spock3	0.002085227149990785
Gnal	0.002046677285064243
Fkbp1a	0.0020336016288300704
Flnb	0.0020240721121289316
Mrfap1	0.002022978582861995
Ak5	0.002020888643046141
Slc36a1	0.0020163538873847822
Tmem30a	0.00197239652885185
Sacs	0.0019662022506004924
Capzb	0.0019509495285833381
Dpy19l1	0.0019494080622727492
Fth1	0.0019470186798233836
Nebl	0.0019414403111531037
Igfn1	0.0019369899877358643
Prpf8	0.0019175948039308055
Nsmf	0.0019084728902222224
Slc9a2	0.0019041898461033347
Septin7	0.0018874215467536038
Diras2	0.001874222993147691
Gm47164	0.001865189935386903
Hnrnpu	0.0018624103981214801
Mark1	0.0018599142739399183
Arpp21	0.0018554407108610951
Capza2	0.0018336824516362773
Ptprb	0.0018163171306912285
Cabp7	0.0018069503052724428
Icam5	0.0018015197199045445
Atp2a2	0.0017834877253220167
Nceh1	0.0017817123935749647
Uba52rt	0.0017707576166038214
Fnbp1l	0.001762701297845264
Mgat3	0.0017583878329724353
Sv2b	0.00174678330127837
Chic1	0.0017166993260752334
Ipcef1	0.0017149942730631676
Kpna3	0.001714325408728247
Pla2g2f	0.001707830686459895
Atp2b4	0.0016912126763792149
Lrrc10b	0.0016316354902097343
Ivns1abp	0.0016001168505433907
Plcb1	0.0015926234790275098
Vps37a	0.0015825387392191647
Ankrd46	0.0015809100385452063
Zranb2	0.0015694194007743088
Flt1	0.0015514674512881995
Ly6h	0.0015491666329550896
Arhgap32	0.0015308426346439927
Actg1	0.0015287117996709348
Ptprn2	0.0015187298963229715
Safb	0.0015179345457311422
Nfix	0.0015130664130834864
Pcdhac2	0.0015059952759870487
Kdm7a	0.001488180160295631
Rps15	0.0014875784376953596
Setd7	0.001481801622799403
Gm20300	0.001477551148669826
Mllt6	0.0014738288470727676
Shisa7	0.0014496380271235424
Deptor	0.0014444306761263012
Srp54c	0.0014444038954314281
Ktn1	0.0014294445528857064
Adam22	0.001427542624428531
Rap1gds1	0.0014256971348984388
Epas1	0.0013999297412989348
Cir1	0.0013865203743378138
Cend1	0.001381623111755722
Arglu1	0.0013756447639054706
Mfsd4a	0.0013751529678112358
Hsp90b1	0.0013746698808926746
Ppp1r12a	0.0013745762337955087
Mat2b	0.0013723356786856792
Acvr1b	0.0013618226842085324
Clip3	0.001357232692059904
Mal2	0.0013421472578787291
Cgnl1	0.0013378817340648835
Arfgef3	0.0013356725311124873
Ncam2	0.0013290722932659317
Dbi	0.0013120798270854035
Pnma8b	0.0013103439114051682
Clk1	0.0013006448470873047
Prrc2b	0.0012981538197608734
Dbp	0.0012934423887459143
Tspan5	0.0012901430567902386
9330162G02Rik	0.0012900204303847402
Nell2	0.0012886895538663837
Itm2a	0.001285676821000833
Rasgef1b	0.0012843564799831938
Ppp1cb	0.0012817491649004572
