sample	n_models	n_unique_predictions	entropy	agreement	most_common_prediction	most_common_count	n_models_predict_4	n_models_predict_1	n_models_predict_5	n_models_predict_3	n_models_predict_2	n_models_predict_0
SRR6113361	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113362	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113363	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113364	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113365	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113367	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113368	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113369	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113372	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113373	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113374	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113375	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113377	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113378	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113379	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113380	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113381	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113382	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113383	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113384	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113385	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113386	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113387	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113388	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113389	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113390	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113391	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113392	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113393	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113394	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113395	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113396	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113397	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113398	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113399	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113400	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113401	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113402	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113403	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113404	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113405	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113406	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113407	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113408	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113410	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113411	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113412	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113413	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113414	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113415	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113416	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113417	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113418	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113419	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113420	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113421	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113422	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113423	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113424	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113425	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113426	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113427	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113428	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113429	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113430	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113431	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113432	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113433	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113434	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113435	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113437	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113438	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113439	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113440	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113441	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113442	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113443	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113444	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113446	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113447	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113448	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113449	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113450	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113451	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113452	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113453	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113454	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113455	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113456	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113457	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113458	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113459	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113460	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113461	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113462	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113463	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113464	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113465	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113466	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113467	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113468	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113469	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113470	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113471	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113472	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113473	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113474	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113475	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113476	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113477	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113478	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113479	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113480	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113481	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113482	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113483	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113484	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113485	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113486	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113487	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113488	3	1	0.0	1.0	2	3	0	0	0	0	3	0
SRR6113489	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113490	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113491	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113492	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113493	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113494	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113495	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113496	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113497	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113498	3	1	0.0	1.0	5	3	0	0	3	0	0	0
SRR6113499	3	1	0.0	1.0	5	3	0	0	3	0	0	0
